,depth,gr,d_res,s_res,den
4809,821.0654000000004,36.9707,0.9863,1.0383,1.6207
4810,821.2178000000005,39.2681,0.9863,1.0383,1.629
4811,821.3702000000005,37.8097,0.9773,1.0258,1.6419
4812,821.5226000000005,35.3296,0.9561,1.0008,1.6496
4813,821.6750000000004,35.9965,0.9548,0.9777,1.6465
4814,821.8274000000005,37.2871,0.9529,0.9743,1.6291
4815,821.9798000000005,38.1268,0.952,0.9843,1.6074
4816,822.1322000000005,38.1399,0.9575,0.9882,1.5876
4817,822.2846000000004,36.2557,0.9562,0.9805,1.5771
4818,822.4370000000005,31.4759,0.9222,0.9441,1.5708
4819,822.5894000000005,26.1181,0.8887,0.9095,1.5633
4820,822.7418000000005,24.0477,0.8838,0.9001,1.555
4821,822.8942000000004,23.2814,0.8876,0.9044,1.5506
4822,823.0466000000005,23.7034,0.8857,0.9027,1.5541
4823,823.1990000000005,25.0056,0.8827,0.8998,1.5652
4824,823.3514000000005,25.2735,0.8947,0.9114,1.5796
4825,823.5038000000004,26.3011,0.8993,0.9156,1.6042
4826,823.6562000000005,28.7713,0.9067,0.928,1.6409
4827,823.8086000000005,30.9557,0.9468,0.9722,1.6786
4828,823.9610000000005,33.818,0.9898,1.0087,1.6971
4829,824.1134000000004,34.7062,0.9941,1.013,1.6947
4830,824.2658000000005,33.6813,0.9717,1.0038,1.6873
4831,824.4182000000005,32.9319,0.9387,0.9931,1.6864
4832,824.5706000000005,31.1499,0.9245,0.9863,1.6806
4833,824.7230000000004,30.9299,0.9242,0.9812,1.6587
4834,824.8754000000005,28.7689,0.9298,0.9765,1.6296
4835,825.0278000000005,26.4813,0.9373,0.9718,1.6107
4836,825.1802000000005,26.7296,0.9445,0.9672,1.602
4837,825.3326000000004,26.9704,0.9399,0.9735,1.5946
4838,825.4850000000005,27.9362,0.9464,0.9879,1.5892
4839,825.6374000000005,26.9822,0.9709,0.9964,1.5922
4840,825.7898000000005,27.3949,0.9808,0.9986,1.6041
4841,825.9422000000004,29.6135,0.9808,0.9986,1.6192
4842,826.0946000000005,32.4823,0.9832,1.0013,1.6329
4843,826.2470000000005,35.4473,0.9866,1.0056,1.6403
4844,826.3994000000005,37.5753,0.9902,1.0088,1.6421
4845,826.5518000000004,39.3698,0.9937,1.0098,1.6426
4846,826.7042000000005,39.951,0.9972,1.0133,1.648
4847,826.8566000000005,39.4823,1.0001,1.0182,1.6554
4848,827.0090000000005,39.0403,1.0029,1.0241,1.6677
4849,827.1614000000004,39.3274,1.0037,1.0212,1.6849
4850,827.3138000000005,38.7977,0.9955,1.0137,1.7071
4851,827.4662000000005,36.2265,0.9902,1.0082,1.7185
4852,827.6186000000005,33.9552,0.9898,1.0078,1.7002
4853,827.7710000000004,32.4703,0.994,1.012,1.6635
4854,827.9234000000005,32.4981,1.0003,1.0186,1.6232
4855,828.0758000000005,33.1416,0.9985,1.0178,1.6004
4856,828.2282000000005,33.5112,0.9581,0.9793,1.5893
4857,828.3806000000004,32.7414,0.9444,0.963,1.5867
4858,828.5330000000005,32.2369,0.9682,0.9876,1.5857
4859,828.6854000000005,32.7335,0.9921,1.0127,1.5898
4860,828.8378000000005,33.9177,1.0232,1.0444,1.5953
4861,828.9902000000004,35.6472,1.0442,1.0649,1.6062
4862,829.1426000000005,39.324,1.0416,1.0611,1.6142
4863,829.2950000000005,43.2775,1.0626,1.084,1.6227
4864,829.4474000000005,46.1515,1.1103,1.1378,1.626
4865,829.5998000000004,48.4998,1.1695,1.1975,1.6321
4866,829.7522000000005,49.698,1.2425,1.2802,1.6483
4867,829.9046000000005,49.6001,1.3596,1.3908,1.6806
4868,830.0570000000005,48.2887,1.4112,1.4379,1.7265
4869,830.2094000000004,47.8593,1.4381,1.4652,1.7805
4870,830.3618000000005,48.0411,1.4617,1.4892,1.8289
4871,830.5142000000005,48.1849,1.4423,1.4759,1.8572
4872,830.6666000000005,50.1603,1.3447,1.4036,1.8574
4873,830.8190000000004,54.2396,1.1969,1.2979,1.8379
4874,830.9714000000005,57.5431,1.1577,1.2538,1.8096
4875,831.1238000000005,57.1575,1.2014,1.2661,1.7833
4876,831.2762000000005,54.6695,1.2298,1.2738,1.7663
4877,831.4286000000004,52.9735,1.247,1.2701,1.7636
4878,831.5810000000005,52.7312,1.2332,1.2578,1.7663
4879,831.7334000000005,53.1156,1.1826,1.2112,1.762
4880,831.8858000000005,54.0327,1.098,1.1349,1.7475
4881,832.0382000000004,53.4428,1.0116,1.0437,1.7249
4882,832.1906000000005,51.3434,0.9575,0.9798,1.6951
4883,832.3430000000005,49.5483,0.9539,0.972,1.6653
4884,832.4954000000005,49.2137,0.9607,0.9781,1.6457
4885,832.6478000000004,49.1182,0.9609,0.9784,1.6428
4886,832.8002000000005,49.8895,0.9641,0.982,1.648
4887,832.9526000000005,50.7851,0.9739,0.9919,1.6566
4888,833.1050000000005,50.5633,0.983,1.001,1.6611
4889,833.2574000000004,50.69,0.9872,1.0052,1.6591
4890,833.4098000000005,51.1483,0.9902,1.0089,1.6546
4891,833.5622000000005,51.0732,1.0181,1.0403,1.6539
4892,833.7146000000005,51.4506,1.0599,1.0845,1.6555
4893,833.8670000000004,53.8537,1.1025,1.1275,1.6585
4894,834.0194000000005,55.6341,1.0948,1.1207,1.6701
4895,834.1718000000005,54.7567,1.0405,1.068,1.6957
4896,834.3242000000005,53.5604,1.0015,1.0212,1.7231
4897,834.4766000000004,53.7191,1.0113,1.0382,1.7408
4898,834.6290000000005,54.0415,1.0531,1.0952,1.7587
4899,834.7814000000005,54.9873,1.0843,1.1246,1.773
4900,834.9338000000005,56.3656,1.0859,1.129,1.78
4901,835.0862000000004,56.3185,1.0857,1.1271,1.7718
4902,835.2386000000005,53.5826,1.0859,1.1253,1.7566
4903,835.3910000000005,49.2369,1.0919,1.1235,1.7435
4904,835.5434000000005,47.1096,1.1017,1.1217,1.7211
4905,835.6958000000004,45.8035,1.1051,1.1193,1.6983
4906,835.8482000000005,45.7609,1.042,1.0994,1.68
4907,836.0006000000005,45.6712,1.0153,1.0762,1.673
4908,836.1530000000005,44.895,1.0046,1.0536,1.6756
4909,836.3054000000004,44.2514,1.0079,1.0428,1.678
4910,836.4578000000005,44.6737,1.0164,1.0509,1.6803
4911,836.6102000000005,46.4596,1.0403,1.0615,1.6787
4912,836.7626000000005,47.8025,1.0689,1.0905,1.6774
4913,836.9150000000004,48.2243,1.1054,1.1326,1.6842
4914,837.0674000000005,48.2346,1.1327,1.175,1.7104
4915,837.2198000000005,48.9457,1.1552,1.2074,1.7409
4916,837.3722000000005,50.0407,1.1532,1.2008,1.7611
4917,837.5246000000004,51.7098,1.1501,1.1864,1.7639
4918,837.6770000000005,53.106,1.147,1.1772,1.755
4919,837.8294000000005,53.4028,1.1314,1.1691,1.7495
4920,837.9818000000005,52.0229,1.1146,1.1627,1.7487
4921,838.1342000000004,49.9183,1.1216,1.1748,1.7602
4922,838.2866000000005,47.9877,1.1349,1.1917,1.7686
4923,838.4390000000005,47.5976,1.1461,1.2065,1.7719
4924,838.5914000000005,49.1236,1.157,1.2099,1.7736
4925,838.7438000000004,51.1466,1.1632,1.2119,1.7794
4926,838.8962000000005,52.7012,1.1637,1.2141,1.7828
4927,839.0486000000005,53.9392,1.1583,1.2162,1.7817
4928,839.2010000000005,53.7745,1.151,1.2136,1.7773
4929,839.3534000000004,52.6986,1.1434,1.2066,1.772
4930,839.5058000000005,51.3434,1.1359,1.1983,1.7651
4931,839.6582000000005,48.9268,1.1284,1.1895,1.7594
4932,839.8106000000005,46.5211,1.121,1.1807,1.7513
4933,839.9630000000004,45.0001,1.1127,1.1656,1.7374
4934,840.1154000000005,44.1451,1.095,1.1409,1.7249
4935,840.2678000000005,44.5542,1.0755,1.1311,1.716
4936,840.4202000000005,46.9099,1.0631,1.1275,1.7126
4937,840.5726000000004,48.5398,1.0608,1.1244,1.705
4938,840.7250000000005,48.7034,1.0688,1.127,1.7068
4939,840.8774000000005,48.5565,1.0872,1.1316,1.7237
4940,841.0298000000005,48.2698,1.1256,1.1655,1.7495
4941,841.1822000000004,47.7426,1.1543,1.2091,1.7701
4942,841.3346000000005,46.9393,1.1789,1.2341,1.7801
4943,841.4870000000005,45.7024,1.1913,1.2367,1.7912
