,depth,gr,d_res,s_res,den
226,119.88300000000002,17.1406,1.3698,0.9911,2.1875
227,120.03540000000002,18.1562,1.2999,1.0013,2.1875
228,120.18780000000002,20.1094,1.3165,0.9713,1.8467
229,120.34020000000002,19.0938,1.3041,0.9912,1.9043
230,120.49260000000002,18.5781,1.2994,0.9881,1.8945
231,120.64500000000002,20.6406,1.3103,0.9935,1.8779
232,120.79740000000002,25.2031,1.2844,0.9718,1.8604
233,120.94980000000002,25.2656,1.2473,0.9772,1.8818
234,121.10220000000002,20.25,1.2704,0.9442,1.9131
235,121.25460000000002,18.25,1.2268,0.9403,1.8594
236,121.40700000000002,19.2656,1.2362,0.9543,1.8125
237,121.55940000000002,18.2812,1.2675,0.9733,1.7881
238,121.71180000000003,17.7031,1.2483,0.9548,1.8516
239,121.86420000000003,20.1406,1.2306,0.9178,1.9092
240,122.01660000000003,21.0938,1.1928,0.8889,1.9434
241,122.16900000000003,22.125,2.444,0.965,1.9795
242,122.32140000000003,17.7031,1.3003,1.0817,2.0664
243,122.47380000000003,17.2031,1.3155,0.9991,2.1172
244,122.62620000000003,15.6328,1.3107,0.9962,2.1035
245,122.77860000000003,16.5938,1.3005,1.0159,2.0312
246,122.93100000000003,17.5938,1.337,1.0122,2.0273
247,123.08340000000003,18.2344,1.336,1.0045,2.0508
248,123.23580000000003,20.5938,2.3165,0.9595,2.0508
249,123.38820000000003,19.6094,1.478,1.0489,2.0391
250,123.54060000000003,20.0156,0.2381,0.6351,1.9883
251,123.69300000000003,18.1094,0.8459,0.9973,2.002
252,123.84540000000003,18.6406,1.7113,0.9192,1.9883
253,123.99780000000003,17.6719,0.9951,1.1064,1.9922
254,124.15020000000003,17.2188,1.7017,1.1423,1.9863
255,124.30260000000003,14.1719,0.8615,0.842,2.0273
256,124.45500000000003,15.1562,1.1914,1.075,1.9775
257,124.60740000000003,12.625,1.1727,1.0278,1.9785
258,124.75980000000003,17.625,1.1698,1.1565,1.9482
259,124.91220000000003,16.1406,1.5876,0.976,2.0176
260,125.06460000000003,19.1406,1.9938,1.0017,2.0645
261,125.21700000000003,15.1406,1.5431,1.3563,2.1133
262,125.36940000000003,14.1094,0.4636,0.7211,2.1094
263,125.52180000000003,14.6641,1.7749,0.9945,2.0918
264,125.67420000000003,17.6719,0.9701,0.7991,2.0312
265,125.82660000000003,20.7031,1.3361,0.7901,1.9844
266,125.97900000000003,19.6562,1.0437,0.8882,1.998
267,126.13140000000003,18.6094,1.9132,0.92,2.0273
268,126.28380000000003,17.0781,0.7993,0.9419,2.0293
269,126.43620000000003,18.0156,2.3291,1.1376,1.918
270,126.58860000000003,17.5469,1.1447,1.0249,1.9141
271,126.74100000000003,18.1719,0.8318,0.9452,1.918
272,126.89340000000003,19.7344,1.6268,0.8838,1.9941
273,127.04580000000003,20.25,1.1521,1.0018,2.0469
274,127.19820000000003,20.6562,1.0615,1.202,2.0645
275,127.35060000000003,18.7031,0.737,0.9942,2.0957
276,127.50300000000003,18.7188,0.9921,1.03,1.9902
277,127.65540000000003,17.6719,0.9566,0.9709,1.9717
278,127.80780000000003,17.0938,1.498,1.1406,1.9258
279,127.96020000000003,18.0625,1.8672,1.154,1.9531
280,128.11260000000004,18.0781,1.3456,1.0033,1.9229
281,128.26500000000004,17.1875,0.8299,1.2366,1.8799
282,128.41740000000004,15.1641,1.296,1.0739,1.8643
283,128.56980000000004,15.6641,1.6594,1.0071,1.8545
284,128.72220000000004,15.5703,0.2594,0.9967,1.835
285,128.87460000000004,17.1719,1.3631,1.0852,1.8545
286,129.02700000000004,15.1328,1.3019,1.1196,1.8672
287,129.17940000000004,15.6094,1.2774,1.1037,1.8691
288,129.33180000000004,16.6094,2.0114,1.1544,1.8262
289,129.48420000000004,17.5625,1.0754,0.9881,1.8906
290,129.63660000000004,18.5938,1.3297,1.2265,1.8398
291,129.78900000000004,18.0781,1.3272,1.1656,1.8682
292,129.94140000000004,20.1562,1.6787,0.8599,1.7441
293,130.09380000000004,20.8281,1.1556,0.9826,1.7998
294,130.24620000000004,19.7344,1.4658,0.9435,1.792
295,130.39860000000004,19.25,1.9817,1.1966,1.8281
296,130.55100000000004,16.5938,1.2564,1.05,1.7793
297,130.70340000000004,17.1562,1.5442,0.9488,1.7627
298,130.85580000000004,16.1875,1.0836,1.1666,1.7783
299,131.00820000000004,16.125,1.0445,0.9981,1.8438
300,131.16060000000004,16.1094,1.5703,0.9964,1.8672
301,131.31300000000005,17.0625,2.4954,0.8536,1.8691
302,131.46540000000005,20.1719,1.6481,1.1339,1.8506
303,131.61780000000005,20.6875,0.9716,1.0484,1.9199
304,131.77020000000005,20.6406,1.4875,0.9802,1.9062
305,131.92260000000005,18.6406,1.2885,0.6673,1.8906
306,132.07500000000005,16.0625,0.9408,0.8695,1.8271
307,132.22740000000005,18.1094,0.9064,0.7427,1.8584
308,132.37980000000005,17.5156,0.7356,0.8087,1.8799
309,132.53220000000005,16.5781,1.0464,0.9012,1.9512
310,132.68460000000005,13.5234,1.2248,0.8057,1.9404
311,132.83700000000005,13.0938,1.3658,0.8108,1.9414
312,132.98940000000005,15.2109,1.019,0.8597,1.873
313,133.14180000000005,15.6797,1.3049,0.8823,1.8457
314,133.29420000000005,15.1641,0.938,0.7808,1.8838
315,133.44660000000005,15.0938,1.0182,1.0483,1.9219
316,133.59900000000005,15.6406,0.929,0.8009,1.9248
317,133.75140000000005,17.2031,1.1673,0.7864,1.8887
318,133.90380000000005,17.5938,1.0067,0.7947,1.9053
319,134.05620000000005,17.6094,0.9951,0.767,1.958
320,134.20860000000005,15.0312,1.0286,0.859,1.9521
321,134.36100000000005,14.1172,1.0064,0.9239,1.9023
322,134.51340000000005,11.0938,1.0476,0.8672,1.8389
323,134.66580000000005,12.1094,0.8309,0.8028,1.874
324,134.81820000000005,10.6094,0.8129,0.8141,1.8848
325,134.97060000000005,11.6094,1.109,0.8176,1.9082
326,135.12300000000005,10.5625,1.1657,0.875,1.8633
327,135.27540000000005,12.5234,1.4087,0.9506,1.8389
328,135.42780000000005,12.4922,0.9702,0.8612,1.8164
329,135.58020000000005,13.5156,1.0262,0.8293,1.7793
330,135.73260000000005,12.5312,1.025,0.836,1.7871
331,135.88500000000005,15.0938,1.04,0.8033,1.8076
332,136.03740000000005,16.6406,1.008,0.8074,1.8164
333,136.18980000000005,16.1719,1.0822,0.8092,1.8203
334,136.34220000000005,14.1797,1.0541,0.8077,1.8711
335,136.49460000000005,12.1484,1.0625,0.7281,1.8623
336,136.64700000000005,16.1719,1.0175,0.8529,1.8662
337,136.79940000000005,17.6406,1.1197,0.8525,1.8262
338,136.95180000000005,18.1562,0.9723,0.8276,1.832
339,137.10420000000005,16.0938,1.062,0.7806,1.8936
340,137.25660000000005,15.0859,0.9247,0.8196,1.8857
341,137.40900000000005,16.0938,0.9049,0.7256,1.8896
342,137.56140000000005,16.1406,0.8932,0.7654,1.8428
343,137.71380000000005,14.6797,1.2247,0.7939,1.8926
344,137.86620000000005,14.1094,0.9965,0.7785,1.8682
345,138.01860000000005,14.5703,0.9972,0.8218,1.8359
346,138.17100000000005,16.0312,1.0636,0.8659,1.7803
347,138.32340000000005,17.0625,0.9295,0.8476,1.7529
348,138.47580000000005,15.0469,0.966,0.7936,1.7344
349,138.62820000000005,13.0312,1.0747,0.8233,1.7842
350,138.78060000000005,11.0312,0.9253,0.8347,1.7891
351,138.93300000000005,14.1328,0.8097,0.8099,1.8418
352,139.08540000000005,14.1719,0.7939,0.7851,1.8115
353,139.23780000000005,16.1875,1.2203,0.8385,1.8799
354,139.39020000000005,13.1641,0.9014,0.8862,1.8662
355,139.54260000000005,14.1328,0.9569,0.8686,1.8867
356,139.69500000000005,14.1484,1.0326,0.838,1.877
357,139.84740000000005,15.1406,0.999,0.8199,1.8877
358,139.99980000000005,14.1484,0.9808,0.8073,1.9102
359,140.15220000000005,14.5781,1.0968,0.8441,1.9346
360,140.30460000000005,14.0391,1.0252,0.8316,1.9336
361,140.45700000000005,16.0625,1.034,0.8207,1.9355
362,140.60940000000005,15.2188,1.0717,0.8341,1.9023
363,140.76180000000005,15.1406,0.8696,0.8445,1.8936
364,140.91420000000005,13.1094,1.0526,0.7965,1.8477
365,141.06660000000005,12.0078,0.9756,0.7803,1.8037
366,141.21900000000005,11.0625,0.938,0.8354,1.7812
367,141.37140000000005,15.0703,0.9578,0.8113,1.8037
368,141.52380000000005,15.5547,0.9866,0.807,1.793
369,141.67620000000005,16.0469,1.0035,0.817,1.7666
370,141.82860000000005,14.5391,0.9968,0.7983,1.7148
371,141.98100000000005,15.6562,0.9494,0.8561,1.6836
372,142.13340000000005,16.6875,1.0198,0.8077,1.6875
373,142.28580000000005,16.75,1.0118,0.8402,1.6934
374,142.43820000000005,14.6562,1.0311,0.802,1.7861
375,142.59060000000005,14.1641,1.1138,0.8318,1.8184
376,142.74300000000005,14.125,0.9846,0.7992,1.8594
377,142.89540000000005,15.6406,1.0179,0.7797,1.8418
378,143.04780000000005,16.1562,1.0157,0.8079,1.834
379,143.20020000000005,14.6016,0.9908,0.7983,1.8564
380,143.35260000000005,13.0859,0.9645,0.7839,1.8418
381,143.50500000000005,12.0938,0.9289,0.7752,1.8398
382,143.65740000000005,11.1172,0.9989,0.7685,1.793
383,143.80980000000005,13.6094,0.9831,0.7681,1.8232
384,143.96220000000005,15.0938,0.9836,0.7733,1.8232
385,144.11460000000005,16.5938,0.9392,0.808,1.8154
386,144.26700000000005,16.7031,0.9769,0.8085,1.791
387,144.41940000000005,18.5625,0.9756,0.7897,1.8477
388,144.57180000000005,18.0625,0.878,0.8527,1.915
389,144.72420000000005,15.9766,1.1159,0.8128,1.9102
390,144.87660000000005,13.5703,0.9939,0.7965,1.6367
391,145.02900000000005,13.6094,1.1132,0.7636,1.3984
392,145.18140000000005,11.6016,1.025,0.7623,1.3271
393,145.33380000000005,9.6172,0.9019,0.7626,1.3916
394,145.48620000000005,9.6172,0.9363,0.842,1.5527
395,145.63860000000005,13.1484,0.8967,0.7818,1.6357
396,145.79100000000005,15.25,0.922,0.7582,1.502
397,145.94340000000005,14.6328,0.9656,0.7756,1.3311
398,146.09580000000005,14.6172,0.9396,0.7776,1.2314
399,146.24820000000005,13.5156,0.9778,0.825,1.1992
400,146.40060000000005,12.1094,0.9753,0.8063,1.2266
401,146.55300000000005,10.6094,1.0145,0.7551,1.2158
402,146.70540000000005,9.625,0.9181,0.7749,1.2021
403,146.85780000000005,10.6016,0.8189,0.8455,1.1953
404,147.01020000000005,13.1406,0.982,0.822,1.1895
405,147.16260000000005,15.1172,1.257,0.8617,1.2041
406,147.31500000000005,15.1094,1.2292,0.6818,1.2568
407,147.46740000000005,12.5469,1.1393,0.8502,1.4219
408,147.61980000000005,11.0781,1.116,0.7882,1.5977
409,147.77220000000005,12.5156,1.1923,0.7688,1.7588
410,147.92460000000005,11.5391,0.9619,0.7618,1.7393
411,148.07700000000006,12.5469,0.886,0.6716,1.6982
412,148.22940000000006,10.6328,0.6677,0.6591,1.7061
413,148.38180000000006,12.6953,1.0111,0.7766,1.7607
414,148.53420000000006,13.1719,0.793,0.7304,1.8203
415,148.68660000000006,14.7031,0.9505,0.7119,1.8613
416,148.83900000000006,13.6484,1.1199,0.735,1.832
417,148.99140000000006,14.1328,1.0387,0.7366,1.8682
418,149.14380000000006,13.6016,1.0738,0.7874,1.8545
419,149.29620000000006,13.5859,1.0609,0.7481,1.8975
420,149.44860000000006,12.1016,0.9317,0.7435,1.8916
421,149.60100000000006,12.625,1.0869,0.8215,1.8672
422,149.75340000000006,13.6328,1.1258,0.7868,1.8604
423,149.90580000000006,14.1719,0.9558,0.7243,1.8486
424,150.05820000000006,14.1328,0.4986,0.6898,1.8408
425,150.21060000000006,15.5781,0.9212,0.8595,1.8096
426,150.36300000000006,14.5234,1.2224,0.8191,1.79
427,150.51540000000006,14.0391,0.9961,0.7661,1.8535
428,150.66780000000006,11.5938,0.9611,0.7854,1.8867
429,150.82020000000006,14.6172,0.8497,0.7566,1.9131
430,150.97260000000006,13.6172,1.0415,0.8588,1.8896
431,151.12500000000006,12.1172,1.0915,0.8623,1.8857
432,151.27740000000006,10.6484,0.4813,0.8782,1.8506
433,151.42980000000006,12.6875,0.9235,0.8468,1.8545
434,151.58220000000006,12.6797,1.1245,0.7914,1.8105
435,151.73460000000006,13.6719,0.8818,0.7627,1.8223
436,151.88700000000006,13.6016,0.8515,0.7736,1.8604
437,152.03940000000006,14.6016,1.1639,0.7369,1.9326
438,152.19180000000006,14.1328,1.1474,0.9052,2.0137
439,152.34420000000006,12.125,0.9088,0.7895,1.9824
440,152.49660000000006,11.6406,0.8339,0.7764,1.9297
441,152.64900000000006,11.6172,1.0034,0.8034,1.8721
442,152.80140000000006,16.2031,1.4525,0.7905,1.8916
443,152.95380000000006,22.2812,0.99,0.7544,1.915
444,153.10620000000006,23.7969,0.8957,0.7758,1.9336
445,153.25860000000006,22.2188,0.9565,0.7745,1.9277
446,153.41100000000006,18.1094,1.0093,0.779,1.9033
447,153.56340000000006,15.5469,1.1944,0.7969,1.9238
448,153.71580000000006,15.0078,1.2927,0.8416,1.9307
449,153.86820000000006,16.5156,1.0202,0.7773,1.9863
450,154.02060000000006,16.6094,0.8474,0.8069,1.9541
451,154.17300000000006,17.1094,1.2073,0.7562,1.9072
452,154.32540000000006,14.6484,0.5745,0.8018,1.9004
453,154.47780000000006,15.1094,0.8405,0.7965,1.915
454,154.63020000000006,15.7266,1.1918,0.7579,1.9082
455,154.78260000000006,18.2344,1.0614,0.753,1.8232
456,154.93500000000006,17.1875,0.9556,0.8524,1.7881
457,155.08740000000006,17.1406,1.1243,0.8749,1.8105
458,155.23980000000006,16.0781,1.144,0.8083,1.8994
459,155.39220000000006,17.5938,0.911,0.8537,1.96
460,155.54460000000006,17.6719,0.7867,0.8783,1.9395
461,155.69700000000006,16.1562,1.105,0.8513,1.8838
462,155.84940000000006,15.1562,1.1039,0.8395,1.8516
463,156.00180000000006,12.5469,1.0908,0.8392,1.9141
464,156.15420000000006,15.6172,1.0307,0.862,1.874
465,156.30660000000006,18.6562,0.9447,0.8298,1.8818
466,156.45900000000006,20.625,0.5539,0.7211,1.8418
