,depth,gr,d_res,s_res,den,vp
386,255.96440000000004,15.5781,1.9303,0.8719,1.3779,1.9941
387,256.1168,14.875,1.9303,0.8719,1.4316,1.9804
388,256.26920000000007,13.3125,1.8249,0.983,1.4727,1.986
389,256.4216,11.0312,1.6162,1.1558,1.4551,1.9828
390,256.57400000000007,11.0312,0.9404,1.0003,1.4004,1.9909
391,256.7264,12.6875,0.9209,0.9695,1.4258,2.0256
392,256.87880000000007,14.1875,0.9187,0.8173,1.4443,2.0315
393,257.0312,15.6641,1.0425,0.9147,1.5117,2.0281
394,257.18360000000007,14.8906,0.9778,1.0695,1.5547,2.0164
395,257.336,16.4375,1.1496,1.0399,1.5537,1.9917
396,257.48840000000007,18.1406,1.0787,0.9482,1.5918,2.0015
397,257.6408,19.5938,1.0092,0.8774,1.5928,2.0139
398,257.79320000000007,19.5938,1.0757,0.9852,1.6504,1.9909
399,257.9456,17.2188,1.454,1.2111,1.6855,1.9933
400,258.09800000000007,15.75,0.8879,1.1096,1.7051,1.9941
401,258.2504,16.5312,1.4098,1.1161,1.6924,1.9933
402,258.40280000000007,16.5312,1.1443,1.2837,1.6445,1.9982
403,258.5552,16.4375,1.1131,1.0695,1.6455,1.9949
404,258.70760000000007,13.3125,1.1045,1.0564,1.6875,1.986
405,258.86,13.2266,1.1016,1.074,1.7178,1.9998
406,259.01240000000007,14.9141,3.8119,1.0762,1.6973,1.9909
407,259.1648,16.4688,1.754,0.7624,1.6846,1.9884
408,259.31720000000007,17.2188,4.2695,0.8009,1.667,2.0073
409,259.4696,16.3125,1.1845,0.7943,1.6719,2.0114
410,259.62200000000007,15.625,1.1279,0.9561,1.6562,2.0081
411,259.7744,14.8594,1.1331,0.9274,1.6562,2.0023
412,259.92680000000007,14.1797,1.1167,0.9203,1.623,1.9779
413,260.0792,13.3984,1.0865,0.9071,1.6426,1.9852
414,260.23160000000007,13.3984,1.0378,0.8733,1.668,1.9998
415,260.384,11.8125,1.0578,0.8792,1.7393,1.9958
416,260.53640000000007,13.2969,1.0276,0.8636,1.7422,1.9974
417,260.6888,11.7344,1.1015,0.8405,1.7197,2.0106
418,260.8412000000001,14.8984,0.9956,0.8281,1.7109,2.0131
419,260.9936,14.1094,1.0722,0.8422,1.7021,2.0089
420,261.1460000000001,17.2188,1.0023,0.8528,1.7393,2.0056
421,261.2984,15.6406,1.0067,0.878,1.7139,1.9966
422,261.4508000000001,17.2031,1.0372,0.814,1.7285,1.9949
423,261.6032,15.75,1.1151,0.7647,1.7305,1.9966
424,261.7556000000001,15.75,1.1012,0.8949,1.7383,2.0064
425,261.908,14.9688,1.0227,0.8939,1.7568,2.0122
426,262.0604000000001,15.6562,1.101,0.8208,1.7334,2.0172
427,262.2128,17.2344,0.6656,0.9914,1.7627,1.9804
428,262.3652000000001,16.4688,1.0398,0.8227,1.7549,1.962
429,262.5176,15.6875,1.3193,0.8458,1.7578,1.9612
430,262.6700000000001,12.4453,1.1631,0.7829,1.7559,1.915
431,262.8224,10.8906,1.076,0.8009,1.7529,1.8883
432,262.9748000000001,10.1797,1.0646,0.8171,1.709,1.9425
433,263.1272,12.5078,1.0003,0.776,1.708,1.9464
434,263.2796000000001,14.9688,1.1973,0.789,1.6553,1.9692
435,263.432,16.4531,1.0376,0.8539,1.7148,1.9982
436,263.5844000000001,14.9844,1.1195,0.8572,1.6826,1.9812
437,263.7368,14.8516,1.119,0.8312,1.6934,2.0116
438,263.8892000000001,13.3672,1.1037,0.8371,1.6885,2.0205
439,264.0416,14.8438,1.2265,0.9063,1.6768,2.0408
440,264.1940000000001,12.5078,1.0988,0.8971,1.6826,2.0329
441,264.3464,13.2969,1.0636,0.9112,1.6729,2.034
442,264.4988000000001,14.0938,1.1667,0.9111,1.6816,2.0408
443,264.6512,14.875,1.1535,0.8082,1.6836,2.042
444,264.8036000000001,14.875,1.1412,0.8964,1.6992,2.0408
