,depth,gr,d_res,s_res,den
849,372.4656000000001,8.7495,1.2695,1.4209,2.0645
850,372.61800000000005,6.6559,1.917,2.9023,1.8613
851,372.7704000000001,5.0468,3.2266,3.2988,1.7617
855,373.3800000000001,5.1486,7.9688,7.6055,1.7295
856,373.53240000000005,5.7735,6.168,5.9102,1.7041
857,373.6848000000001,6.0119,6.8867,5.9023,1.6475
858,373.83720000000005,6.8205,6.543,6.2422,1.5908
859,373.9896000000001,7.4804,6.3945,15.5781,1.5742
860,374.14200000000005,7.0114,7.25,15.6875,1.5918
861,374.2944000000001,5.9099,8.5625,15.8672,1.625
862,374.44680000000005,5.0625,12.5703,8.0469,1.6016
863,374.5992000000001,5.0548,12.9375,7.8281,1.5918
864,374.75160000000005,5.5548,12.1719,9.1719,1.6055
865,374.9040000000001,5.9651,11.4297,8.1563,1.6807
866,375.05640000000005,7.1093,12.4531,8.0938,1.834
867,375.2088000000001,6.6719,15.2656,11.2578,2.0859
868,375.36120000000005,6.7343,21.8281,21.4375,2.373
869,375.5136000000001,6.5123,21.0,15.6016,2.5508
870,375.66600000000005,8.7266,20.5781,15.5313,2.6113
871,375.8184000000001,8.9455,19.7656,15.3594,2.5059
872,375.97080000000005,9.6407,8.6016,15.2344,2.4336
873,376.1232000000001,9.9377,4.8555,12.5703,2.166
874,376.27560000000005,10.6405,4.293,5.9063,1.9316
875,376.4280000000001,10.2104,4.4297,3.8848,1.8467
876,376.58040000000005,8.1718,4.4336,4.0547,1.8359
877,376.7328000000001,7.7111,4.5781,4.0117,1.8779
878,376.88520000000005,8.5628,4.6953,4.3008,1.9004
879,377.0376000000001,9.6643,5.207,9.6875,2.0234
880,377.19000000000005,9.3824,9.8906,9.2266,2.2539
881,377.3424000000001,7.7655,10.6016,10.5234,2.5801
882,377.49480000000005,7.2851,10.2188,10.4141,2.7129
883,377.6472000000001,7.0587,11.6797,10.5391,2.7148
884,377.79960000000005,7.2968,26.3281,10.9063,2.709
885,377.9520000000001,7.086,24.2344,11.4531,2.7129
886,378.10440000000006,7.3322,28.3281,21.6875,2.75
887,378.2568000000001,8.0,29.9688,6.7344,2.6289
888,378.40920000000006,7.9727,11.3906,6.5352,2.4336
889,378.5616000000001,8.1799,8.5625,6.7695,2.1309
890,378.71400000000006,9.0703,8.4609,5.8867,1.9375
891,378.8664000000001,8.8986,8.9297,8.8984,1.7979
892,379.01880000000006,9.5856,9.0313,9.7031,1.7588
