,depth,gr,d_res,s_res,den
252,44.65320000000003,4.6466,43.0711,38.5364,2.5957
253,44.80560000000003,5.1435,43.0711,38.5364,2.1309
254,44.95800000000003,5.0232,65.157,56.1843,2.0273
255,45.11040000000003,5.8032,65.7716,57.4034,2.0918
256,45.26280000000003,5.9696,95.3472,76.9225,2.4082
257,45.41520000000003,6.4563,112.1991,95.3378,2.6309
258,45.56760000000003,6.582,97.0387,83.1019,2.7813
259,45.72000000000003,6.5363,93.4655,78.1094,2.8164
260,45.87240000000003,6.0074,92.9272,79.4933,2.877
261,46.02480000000003,5.4933,96.7643,82.955,2.8555
262,46.17720000000003,5.2913,106.6086,93.578,2.8711
263,46.32960000000003,5.2804,142.7657,121.6463,2.8223
264,46.48200000000003,4.13,208.2115,172.7812,2.8457
265,46.63440000000003,3.8876,315.3636,234.7712,2.8262
266,46.78680000000003,3.7758,316.6671,266.153,2.8867
267,46.93920000000003,3.7432,231.4789,209.8247,2.9102
268,47.09160000000003,3.7908,219.5493,188.1696,2.9746
269,47.24400000000003,3.1524,169.8604,156.8554,2.9844
270,47.39640000000003,3.3074,158.1251,139.337,2.9609
271,47.54880000000003,3.1941,144.6944,134.2563,2.9375
272,47.70120000000003,3.4207,170.4771,158.7829,2.9121
273,47.85360000000003,3.1631,256.2449,219.248,2.9238
274,48.00600000000003,2.9186,335.6096,323.3057,2.9043
275,48.15840000000003,2.676,517.8164,404.4935,2.8848
276,48.31080000000003,2.941,645.3831,455.3596,2.8691
277,48.46320000000003,2.8558,408.3216,407.521,2.877
278,48.61560000000003,2.8145,408.7712,347.2111,2.875
279,48.76800000000003,2.8194,488.5416,448.6964,2.8633
280,48.92040000000003,2.8942,451.5534,392.16,2.8809
281,49.07280000000003,2.7108,405.337,366.6569,2.9043
282,49.22520000000003,2.8007,492.6018,379.848,2.9023
283,49.37760000000003,2.8413,1737.499,812.7911,2.8906
284,49.53000000000003,3.8575,3686.29,1373.9023,2.8613
285,49.68240000000003,4.1416,3398.3916,1356.5796,2.8887
286,49.83480000000003,3.9162,10117.9434,1706.1665,2.8984
287,49.98720000000003,3.3085,1321.7832,1171.2571,2.916
288,50.13960000000003,3.1822,262.9316,295.9606,2.9277
289,50.29200000000003,2.9817,197.1591,218.2298,2.957
290,50.44440000000003,3.1664,181.61,199.6646,2.9863
291,50.59680000000003,2.8496,163.8664,179.4119,2.9668
292,50.74920000000003,3.6104,220.9435,204.9213,2.9473
293,50.90160000000003,3.2497,390.4924,345.5136,2.9297
294,51.05400000000003,3.6459,554.9424,467.3589,2.9238
295,51.20640000000003,3.6553,967.7515,711.3784,2.9102
296,51.35880000000003,3.4497,1269.5327,947.1134,2.9141
297,51.51120000000003,3.6438,484.7269,530.1279,2.9219
298,51.66360000000003,3.1632,372.7778,370.2047,2.9375
299,51.81600000000003,4.2397,487.1177,429.9113,2.9395
300,51.96840000000003,4.7376,449.944,393.1563,2.9277
301,52.12080000000003,4.9273,554.3434,493.7707,2.9043
302,52.27320000000003,4.742,372.3433,384.6143,2.8789
303,52.42560000000003,3.7085,374.6989,405.9586,2.8633
304,52.57800000000003,3.7065,546.1378,491.1942,2.8535
305,52.73040000000003,3.0247,901.3324,691.5925,2.834
306,52.88280000000003,2.9034,1291.2542,909.7942,2.8027
307,53.03520000000003,2.8574,318.6836,377.2822,2.8047
308,53.18760000000003,3.3116,267.8328,303.3006,2.8203
309,53.34000000000003,4.5255,192.7804,241.5743,2.8398
310,53.49240000000003,4.0037,170.5713,205.1974,2.8516
311,53.64480000000003,3.4888,245.9355,270.0116,2.8496
312,53.79720000000003,2.4074,393.0667,401.277,2.8789
313,53.94960000000003,3.0327,460.1861,453.1819,2.8711
314,54.10200000000003,3.9669,1207.4851,744.6849,2.8848
315,54.25440000000003,4.4107,2763.9307,1185.4956,2.8828
316,54.40680000000003,4.6696,1799.8625,1072.7927,2.9141
317,54.55920000000003,4.0397,1284.2522,949.328,2.9199
318,54.71160000000003,3.8548,773.0664,672.8843,2.9141
319,54.86400000000003,3.5005,826.8282,684.6575,2.8652
320,55.01640000000003,3.4735,915.2838,732.0328,2.8555
321,55.16880000000003,3.4162,980.9786,750.3293,2.8926
322,55.32120000000003,3.4459,1527.2,896.0079,2.9141
323,55.47360000000003,3.1805,10981.1055,1575.3201,2.9082
325,55.77840000000003,3.8901,4233.8525,1485.5808,2.8672
326,55.93080000000003,4.1209,1149.1658,803.0873,2.8652
327,56.08320000000003,4.2089,853.4996,625.7522,2.8418
328,56.235600000000034,3.8676,750.6689,581.6687,2.8809
329,56.388000000000034,3.3771,807.1819,596.0438,2.8945
330,56.540400000000034,3.4189,1308.1206,778.0181,2.9141
331,56.692800000000034,2.9395,2017.5679,993.006,2.9004
332,56.845200000000034,3.6865,1013.7795,760.2421,2.918
333,56.997600000000034,3.4889,629.2217,538.0653,2.9238
334,57.150000000000034,4.0669,491.4751,444.7964,2.916
335,57.302400000000034,3.8039,521.9458,460.2849,2.9004
336,57.454800000000034,3.8928,518.8777,457.9966,2.9082
337,57.607200000000034,3.5963,446.0178,432.3922,2.918
338,57.759600000000034,3.7194,424.9744,384.1025,2.916
339,57.912000000000035,3.1892,458.1018,399.1455,2.9082
340,58.064400000000035,3.2858,479.7491,426.7033,2.8789
341,58.216800000000035,3.2749,509.5952,441.2918,2.8926
342,58.369200000000035,3.3793,583.4583,479.7596,2.9453
343,58.521600000000035,3.3421,886.4701,618.2522,2.9531
344,58.674000000000035,3.3386,1542.4614,892.9867,2.9316
345,58.826400000000035,3.0114,1250.1731,828.6896,2.8867
346,58.978800000000035,3.1832,787.1656,547.1262,2.9219
347,59.131200000000035,3.8361,724.4093,474.6661,2.9336
348,59.283600000000035,4.0256,562.1246,445.3085,2.9375
