,depth,gr,d_res,s_res,den,vp
536,81.6864,16.9173,1.0313,1.0107,1.8785,1.8665
537,81.8388,17.5962,1.0361,1.0107,1.8785,1.8339
538,81.9912,16.7658,1.041,1.0107,1.8775,1.8506
539,82.1436,16.3596,1.0498,1.0107,1.8795,1.8722
540,82.296,15.7635,1.0566,1.0146,1.8761,1.8665
541,82.4484,15.3866,1.0635,1.0225,1.8791,1.8873
542,82.6008,15.6337,1.0674,1.0332,1.8847,1.8722
543,82.7532,16.9815,1.0684,1.043,1.8918,1.8757
544,82.9056,16.7464,1.0703,1.0498,1.8891,1.8676
545,83.058,17.0505,1.0781,1.0518,1.8917,1.8563
546,83.2104,14.586,1.0879,1.0527,1.8964,1.878
547,83.36280000000001,15.3845,1.0947,1.0537,1.9001,1.8768
548,83.51520000000001,14.8867,1.0996,1.0576,1.8937,1.8757
549,83.66760000000001,16.6068,1.1064,1.0635,1.899,1.8654
550,83.82000000000001,16.5832,1.1133,1.0703,1.9085,1.8745
551,83.97240000000001,16.8821,1.1201,1.0762,1.9123,1.8745
552,84.12480000000001,16.7988,1.1221,1.082,1.9094,1.8991
553,84.27720000000001,17.1801,1.1309,1.0889,1.9018,1.8896
554,84.42960000000001,17.9427,1.1436,1.0957,1.9023,1.878
555,84.58200000000001,18.0263,1.1484,1.1025,1.9015,1.892
556,84.73440000000001,17.6421,1.1533,1.1084,1.9064,1.8967
557,84.88680000000001,17.5868,1.1602,1.1133,1.9107,1.8803
558,85.03920000000001,17.9867,1.166,1.1182,1.9227,1.8967
559,85.19160000000001,18.5177,1.1719,1.124,1.918,1.892
560,85.34400000000001,18.7165,1.1846,1.1328,1.9098,1.9182
561,85.49640000000001,19.4389,1.2002,1.1445,1.8998,1.8955
562,85.64880000000001,18.8742,1.2119,1.1563,1.9094,1.9014
563,85.80120000000001,19.484,1.2178,1.168,1.9166,1.8815
564,85.95360000000001,19.0561,1.2236,1.1758,1.9279,1.8642
565,86.10600000000001,20.7849,1.2305,1.1807,1.9277,1.878
566,86.25840000000001,21.8635,1.2441,1.1826,1.9287,1.8932
567,86.41080000000001,24.5612,1.2412,1.1855,1.9301,1.8803
568,86.56320000000001,27.3649,1.2539,1.2061,1.9294,1.9014
569,86.71560000000001,30.7019,1.3301,1.2598,1.9266,1.8897
570,86.86800000000001,33.7085,1.4063,1.3467,1.9109,2.4345
571,87.02040000000001,34.4988,1.4219,1.4365,1.7266,2.4443
572,87.17280000000001,36.6153,1.4316,1.4902,1.559,2.3537
573,87.32520000000001,39.8685,1.4385,1.4883,1.395,2.6481
574,87.47760000000001,37.8331,1.4141,1.4404,1.3429,1.8711
575,87.63000000000001,28.5124,1.375,1.3623,1.2988,2.0361
576,87.78240000000001,16.5761,1.3633,1.2656,1.3037,2.1021
577,87.93480000000001,10.9151,1.3408,1.167,1.4347,2.1756
578,88.08720000000001,9.4941,1.291,1.0889,1.6148,2.2478
579,88.23960000000001,8.9815,1.2295,1.0498,1.882,2.1255
580,88.39200000000001,8.8174,1.1445,1.0449,1.959,2.0429
581,88.54440000000001,8.2152,1.0947,1.0557,1.9643,2.0934
582,88.69680000000001,7.5302,1.083,1.0654,1.9752,2.1167
583,88.84920000000001,6.7422,1.0947,1.0645,1.976,2.1495
584,89.00160000000001,6.4611,1.1094,1.0557,2.0048,2.1255
585,89.15400000000001,6.5553,1.1309,1.0527,2.0354,2.1374
586,89.30640000000001,6.5686,1.1582,1.0723,2.033,2.0963
587,89.45880000000001,6.3423,1.1836,1.1191,2.0219,1.7721
588,89.61120000000001,7.6479,1.2041,1.1846,2.0031,1.9551
589,89.76360000000001,8.0306,1.2324,1.249,2.0079,1.6849
590,89.91600000000001,10.2339,1.2529,1.2871,1.9604,1.644
591,90.06840000000001,9.4016,1.2725,1.2891,1.9621,1.6512
592,90.22080000000001,10.4916,1.291,1.2715,1.9333,1.8677
593,90.37320000000001,8.7987,1.3037,1.2559,1.9301,2.2478
594,90.52560000000001,8.6253,1.3164,1.2539,1.905,2.2478
595,90.67800000000001,6.7216,1.335,1.2764,1.9618,2.2478
596,90.83040000000001,5.9986,1.3984,1.3359,2.0215,2.2478
597,90.98280000000001,5.6975,1.4727,1.4414,2.1282,2.2445
598,91.1352,6.0615,1.5273,1.585,2.1805,2.2712
599,91.2876,5.8894,1.5742,1.7334,2.2112,2.2151
600,91.44,5.4253,1.6279,1.8291,2.2035,1.6476
601,91.5924,5.8413,1.6982,1.8428,2.1902,1.6877
602,91.7448,6.2705,1.7686,1.8037,2.1912,1.6877
603,91.8972,6.651,1.8174,1.7637,2.1777,1.6877
604,92.0496,5.2044,1.8525,1.7471,2.1612,1.6803
605,92.202,4.8452,1.875,1.7559,2.1494,1.6178
606,92.3544,4.5235,1.875,1.7852,2.1659,1.6136
607,92.5068,5.3253,1.8574,1.8281,2.1781,1.684
608,92.6592,6.4208,1.8906,1.8799,2.1651,1.7124
609,92.8116,5.8447,1.9336,1.9258,2.1723,1.644
610,92.964,5.6259,1.9355,1.9531,2.1997,1.5456
611,93.1164,4.602,1.9404,1.957,2.2228,1.5942
612,93.2688,5.0108,1.96,1.9512,2.2138,1.6619
613,93.4212,4.903,2.0078,1.9531,2.2129,1.6077
614,93.5736,5.1264,2.0645,1.9619,2.2184,2.9139
615,93.726,5.187,2.0859,1.9678,2.2324,2.1548
616,93.8784,5.0235,2.0918,1.9561,2.2426,2.2521
617,94.0308,4.2343,2.0977,1.9287,2.2267,2.2323
618,94.1832,4.8204,2.0898,1.9033,2.199,2.9882
619,94.3356,5.2048,2.082,1.8916,2.1571,2.036
620,94.488,5.7501,2.082,1.8975,2.1531,1.644
621,94.6404,5.3951,2.0898,1.9189,2.1595,1.6812
622,94.7928,5.3835,2.0488,1.9521,2.1822,1.6821
623,94.9452,6.0659,2.0039,1.9854,2.2058,1.7845
624,95.0976,5.8151,1.9609,2.0059,2.2159,1.7856
625,95.25,5.596,1.9414,1.9941,2.221,1.8295
626,95.4024,4.829,1.9033,1.9268,2.1385,1.8631
627,95.5548,4.7284,1.8613,1.8193,2.0238,1.8745
628,95.7072,5.3106,1.8467,1.7158,1.9678,1.8838
629,95.8596,5.7444,1.8252,1.6563,1.9477,1.8654
630,96.012,6.2187,1.8164,1.6533,1.9722,1.8979
631,96.1644,5.4727,1.7959,1.6982,2.002,2.1881
632,96.3168,5.1206,1.7715,1.7549,2.0807,2.142
633,96.4692,4.5019,1.8076,1.7842,2.0962,2.2232
634,96.6216,5.019,1.8389,1.7803,2.119,2.4364
635,96.774,5.1696,1.8467,1.7559,2.1563,2.0721
636,96.9264,5.4902,1.835,1.7217,2.1896,2.151
637,97.0788,5.7921,1.8154,1.6758,2.191,1.9922
638,97.2312,6.5539,1.7939,1.6152,2.1733,2.0279
639,97.3836,6.6689,1.7021,1.5322,2.1542,1.9291
640,97.536,5.6528,1.5693,1.4385,2.1163,1.8208
641,97.6884,5.5359,1.4688,1.3535,2.0859,1.9389
642,97.8408,4.7721,1.4043,1.292,2.069,1.8518
643,97.9932,5.5781,1.3857,1.2588,2.0667,2.0707
644,98.1456,5.3408,1.373,1.2549,2.0476,2.082
645,98.298,5.7204,1.3594,1.2676,2.0189,2.139
646,98.4504,6.3249,1.333,1.2803,2.0159,2.2297
647,98.6028,5.4724,1.3135,1.2832,2.005,1.917
648,98.7552,5.3667,1.3213,1.2773,1.9931,1.8932
649,98.9076,4.6741,1.3164,1.2705,2.0191,1.9026
650,99.06,5.3138,1.3164,1.2695,2.0829,1.6674
651,99.2124,5.7107,1.3145,1.2764,2.0688,1.6008
652,99.3648,5.4829,1.3145,1.2832,2.0154,1.5983
653,99.5172,5.4171,1.3154,1.2832,1.9836,1.6213
654,99.6696,6.0628,1.3184,1.2773,1.9814,1.8361
655,99.822,6.1655,1.3145,1.2695,1.976,1.8362
656,99.9744,6.0402,1.3154,1.2656,1.9407,1.9476
657,100.1268,5.327,1.3096,1.2676,1.9652,1.7909
658,100.2792,4.8488,1.2988,1.2744,1.969,1.9921
659,100.4316,5.7043,1.2988,1.2773,1.9823,2.1991
660,100.584,5.4058,1.3047,1.2725,1.9651,1.9921
661,100.7364,5.4744,1.2998,1.2627,1.9583,1.8143
662,100.8888,4.8937,1.292,1.2539,1.9377,1.6665
663,101.0412,5.4695,1.2695,1.249,1.9506,1.9895
664,101.1936,6.1127,1.2588,1.2461,1.9894,1.7659
665,101.346,6.3685,1.2676,1.2393,2.0343,1.7835
666,101.4984,6.5429,1.2969,1.2285,2.0452,2.0039
667,101.6508,5.5976,1.3281,1.2354,2.0464,2.0763
668,101.8032,4.942,1.377,1.2861,2.0384,2.2135
669,101.9556,4.1561,1.4404,1.4063,2.0482,2.4133
670,102.108,5.6226,1.5371,1.6045,2.0797,3.0881
671,102.2604,5.9511,1.6641,1.8516,2.1408,2.9853
672,102.4128,7.0428,1.8525,2.0605,2.1995,2.8196
673,102.5652,5.8967,2.0371,2.1562,2.2038,2.8327
674,102.7176,6.1558,2.1934,2.1504,2.2057,2.8973
675,102.87,5.1834,2.3242,2.123,2.2029,2.5485
676,103.0224,5.5087,2.4258,2.1348,2.2115,2.2918
677,103.1748,5.1118,2.5391,2.2149,2.2061,2.6208
678,103.3272,4.9593,2.6191,2.375,2.2013,3.0819
679,103.4796,4.5416,2.6973,2.5879,2.1937,3.0913
680,103.632,4.9624,2.7402,2.8047,2.1691,3.1198
681,103.7844,4.884,2.8027,2.9551,2.1902,3.1262
682,103.9368,4.9601,2.8438,2.9883,2.2122,3.3904
683,104.0892,4.4791,2.8809,2.9238,2.2526,3.3094
684,104.2416,4.4777,2.9297,2.8242,2.2624,3.3023
685,104.394,4.5683,2.9844,2.7578,2.2649,3.3495
686,104.5464,3.5646,3.0664,2.7578,2.2555,3.4132
687,104.6988,4.0552,3.1465,2.8399,2.2621,3.2987
688,104.8512,4.1946,3.2363,2.9863,2.2783,3.3385
689,105.0036,5.2487,3.3398,3.1543,2.3032,3.6157
690,105.156,4.7642,3.4395,3.2852,2.3091,3.7583
691,105.3084,4.5331,3.4824,3.3477,2.3151,3.6679
692,105.4608,4.2391,3.4883,3.3379,2.3077,3.6372
693,105.6132,4.0046,3.4805,3.2695,2.2976,3.6071
694,105.7656,4.5388,3.459,3.1601,2.2773,3.4636
695,105.918,5.1852,3.373,3.0273,2.2614,3.4519
696,106.0704,5.3385,3.3008,2.9102,2.2453,3.2322
697,106.2228,4.8096,3.2754,2.8457,2.2316,3.2017
698,106.3752,4.4106,3.2383,2.8555,2.2371,3.2529
699,106.5276,4.7148,3.1875,2.9277,2.2532,3.195
700,106.68,4.6399,3.1602,3.0234,2.2794,3.368
701,106.8324,4.239,3.127,3.0918,2.2868,3.3422
702,106.9848,4.1644,3.0938,3.0937,2.2767,3.5156
703,107.1372,4.2414,3.0938,3.0098,2.2613,3.3605
704,107.28960000000001,4.2466,3.0957,2.8574,2.2443,3.2987
705,107.44200000000001,4.4784,3.0957,2.6855,2.2392,3.2564
706,107.59440000000001,5.602,3.0742,2.5488,2.2416,3.1229
707,107.74680000000001,5.8197,2.9805,2.4727,2.25,3.051
708,107.89920000000001,5.5826,2.8144,2.4395,2.2473,3.0208
709,108.05160000000001,4.3744,2.7363,2.4082,2.2253,3.0119
710,108.20400000000001,4.5159,2.918,2.3379,2.2155,3.0238
711,108.35640000000001,4.7009,2.9727,2.2363,2.2134,2.9421
712,108.50880000000001,4.8711,2.9785,2.1738,2.2369,3.0178
713,108.66120000000001,4.3723,3.0039,2.2324,2.289,3.045
714,108.81360000000001,3.9307,3.127,2.4629,2.3255,3.1652
715,108.96600000000001,4.2744,3.1094,2.8555,2.3484,3.6243
716,109.11840000000001,4.949,3.2637,3.2832,2.346,3.8388
717,109.27080000000001,5.1199,3.4023,3.4844,2.2948,3.9278
718,109.42320000000001,4.8343,3.4473,3.3594,2.2391,3.5196
719,109.57560000000001,5.1332,3.5098,3.1309,2.1447,3.175
720,109.72800000000001,6.0184,3.7676,3.0274,2.1174,3.1586
721,109.88040000000001,5.9983,3.9629,3.1309,2.1017,3.4363
722,110.03280000000001,5.461,4.1406,3.4649,2.1961,3.3495
723,110.18520000000001,4.6793,4.3945,4.0078,2.3084,3.3905
724,110.33760000000001,5.3075,4.457,4.5703,2.387,3.9895
725,110.49000000000001,6.6559,4.5313,4.832,2.3923,2.7312
726,110.64240000000001,7.0404,4.7852,4.7383,2.3839,2.6141
