,depth,gr,d_res,s_res,den,vp
123,73.76160000000002,4.1829,0.6701,0.6662,1.5223,1.5195
124,73.91400000000002,4.2468,0.6702,0.6618,1.5223,1.5198
125,74.06640000000002,4.3519,0.6687,0.659,1.5085,1.5186
126,74.21880000000002,4.5149,0.6666,0.6582,1.4946,1.5214
127,74.37120000000002,4.1839,0.6663,0.6591,1.479,1.5227
128,74.52360000000002,3.8017,0.6665,0.6602,1.4763,1.5204
129,74.67600000000002,3.8065,0.6668,0.6606,1.478,1.5194
130,74.82840000000002,4.1007,0.6673,0.6606,1.4701,1.5176
131,74.98080000000002,4.5616,0.6675,0.6603,1.4642,1.5201
132,75.13320000000002,4.7927,0.6714,0.6599,1.4772,1.5178
133,75.28560000000002,4.7976,0.6738,0.6594,1.4916,1.5149
134,75.43800000000002,4.7561,0.6738,0.6586,1.4979,1.5154
135,75.59040000000002,4.7956,0.6735,0.6579,1.4895,1.5161
136,75.74280000000002,4.8266,0.6724,0.6574,1.4778,1.5184
137,75.89520000000002,4.7413,0.6719,0.6575,1.4664,1.518
138,76.04760000000002,4.5688,0.6719,0.6587,1.4565,1.5147
139,76.20000000000002,4.5474,0.6719,0.6611,1.4529,1.5124
140,76.35240000000002,4.69,0.6715,0.6644,1.4574,1.5129
141,76.50480000000002,4.7413,0.6714,0.6678,1.4618,1.5144
142,76.65720000000002,4.5596,0.6711,0.6699,1.453,1.5175
143,76.80960000000002,4.168,0.6699,0.6701,1.4554,1.5182
144,76.96200000000002,3.8451,0.6715,0.6689,1.4488,1.5164
145,77.11440000000002,3.6308,0.6724,0.6671,1.4637,1.5167
146,77.26680000000002,3.8052,0.6713,0.6644,1.4698,1.5161
147,77.41920000000002,3.7964,0.6702,0.6618,1.4755,1.5146
148,77.57160000000002,4.0573,0.6692,0.6601,1.467,1.5163
149,77.72400000000002,3.9158,0.6764,0.6593,1.4604,1.5161
150,77.87640000000002,4.4105,0.6763,0.6599,1.4619,1.5151
151,78.02880000000002,4.7546,0.6728,0.6609,1.4592,1.5133
152,78.18120000000002,5.3861,0.6704,0.6626,1.4647,1.516
153,78.33360000000002,5.3337,0.6714,0.6638,1.4802,1.52
154,78.48600000000002,5.2991,0.6734,0.6641,1.4995,1.5233
155,78.63840000000002,5.5594,0.6693,0.6641,1.5015,1.5263
156,78.79080000000002,5.7255,0.6465,0.6648,1.4803,1.5259
157,78.94320000000002,5.6058,0.6302,0.6669,1.456,1.5255
158,79.09560000000002,5.0035,0.6263,0.6694,1.4459,1.5255
159,79.24800000000002,4.6146,0.626,0.6719,1.4691,1.5255
160,79.40040000000002,4.2665,0.6299,0.6739,1.5139,1.5279
161,79.55280000000002,4.1891,0.6277,0.6747,1.5437,1.5304
162,79.70520000000002,4.6197,0.6325,0.6716,1.5421,1.529
163,79.85760000000002,4.9659,0.6338,0.6609,1.5284,1.5336
164,80.01000000000002,5.046,0.633,0.643,1.5251,1.5316
165,80.16240000000002,4.4382,0.6357,0.6234,1.5242,1.5341
166,80.31480000000002,4.6331,0.6399,0.6091,1.5112,1.529
167,80.46720000000002,4.857,0.6447,0.6049,1.4885,1.5297
168,80.61960000000002,5.2971,0.648,0.6095,1.482,1.5288
169,80.77200000000002,5.1269,0.6497,0.6195,1.4965,1.5286
170,80.92440000000002,5.1295,0.6528,0.6299,1.5231,1.5332
171,81.07680000000002,5.5201,0.6563,0.6377,1.5458,1.5407
172,81.22920000000002,5.4487,0.6789,0.6412,1.5539,1.5417
173,81.38160000000002,5.4114,0.6843,0.6416,1.5482,1.5397
174,81.53400000000002,5.6566,0.6837,0.6399,1.5328,1.5456
175,81.68640000000002,5.8792,0.6914,0.6375,1.5129,1.5471
176,81.83880000000002,6.2157,0.7042,0.6359,1.5085,1.5444
177,81.99120000000002,6.3372,0.7082,0.638,1.5267,1.5392
178,82.14360000000002,7.0718,0.7103,0.6467,1.5547,1.5393
179,82.29600000000002,7.241,0.7113,0.6645,1.5779,1.5429
180,82.44840000000002,7.6568,0.7123,0.6881,1.5801,1.5476
181,82.60080000000002,7.7957,0.7119,0.7099,1.5746,1.5538
182,82.75320000000002,8.517,0.7119,0.7192,1.5656,1.5499
183,82.90560000000002,9.9825,0.7073,0.7124,1.5526,1.5452
184,83.05800000000002,10.5448,0.7047,0.6971,1.5429,1.5515
185,83.21040000000002,9.5049,0.7051,0.6832,1.5153,1.5467
186,83.36280000000002,7.7372,0.7041,0.676,1.5185,1.5464
187,83.51520000000002,7.7167,0.6984,0.6763,1.5105,1.5457
188,83.66760000000002,8.6209,0.6992,0.6815,1.5144,1.5434
189,83.82000000000002,7.9467,0.6992,0.6883,1.4971,1.5486
190,83.97240000000002,7.2807,0.6987,0.6947,1.4892,1.555
191,84.12480000000002,7.5126,0.6982,0.6987,1.4948,1.5528
192,84.27720000000002,8.4877,0.6963,0.6987,1.5081,1.5465
193,84.42960000000002,8.6255,0.6977,0.6953,1.5178,1.5519
194,84.58200000000002,7.1795,0.6958,0.69,1.5252,1.5527
195,84.73440000000002,6.6474,0.6958,0.6837,1.5228,1.5496
196,84.88680000000002,5.5964,0.6958,0.6793,1.511,1.5465
197,85.03920000000002,5.9871,0.6958,0.6778,1.5058,1.5503
198,85.19160000000002,6.2455,0.6963,0.6787,1.5053,1.548
199,85.34400000000002,6.785,0.6968,0.6816,1.5211,1.5426
200,85.49640000000002,6.875,0.6968,0.6864,1.5258,1.541
201,85.64880000000002,6.0643,0.6991,0.6926,1.5252,1.5387
202,85.80120000000002,5.5882,0.7095,0.699,1.5233,1.5416
203,85.95360000000002,5.3007,0.7081,0.7034,1.5181,1.5455
204,86.10600000000002,5.682,0.7108,0.7036,1.5248,1.5382
205,86.25840000000002,5.7741,0.7128,0.7008,1.5414,1.5393
206,86.41080000000002,6.1307,0.7078,0.697,1.5609,1.5438
207,86.56320000000002,6.3425,0.7043,0.6945,1.5546,1.5419
208,86.71560000000002,6.1928,0.7105,0.6939,1.5447,1.5359
209,86.86800000000002,5.853,0.7041,0.6934,1.5272,1.5362
210,87.02040000000002,5.684,0.7013,0.6925,1.4924,1.5348
211,87.17280000000002,6.0421,0.6989,0.691,1.4741,1.5376
212,87.32520000000002,6.5218,0.6978,0.6887,1.4971,1.5357
213,87.47760000000002,6.2054,0.6973,0.6876,1.5575,1.5377
214,87.63000000000002,6.0287,0.6964,0.6871,1.5677,1.5378
215,87.78240000000002,5.7999,0.6954,0.687,1.5549,1.5385
216,87.93480000000002,5.7971,0.6931,0.6857,1.5275,1.5372
217,88.08720000000002,6.059,0.6915,0.682,1.494,1.535
218,88.23960000000002,6.2979,0.6901,0.6768,1.4878,1.5334
219,88.39200000000002,6.8838,0.6838,0.6723,1.5034,1.5332
220,88.54440000000002,6.8176,0.6766,0.6701,1.5392,1.5311
221,88.69680000000002,6.7697,0.6749,0.6699,1.5369,1.5282
222,88.84920000000002,6.2235,0.6757,0.6712,1.5229,1.534
223,89.00160000000002,6.0588,0.6809,0.6722,1.5164,1.5334
224,89.15400000000002,6.1254,0.6825,0.6719,1.5144,1.5312
225,89.30640000000002,6.0502,0.6839,0.6689,1.5109,1.5343
226,89.45880000000002,5.9734,0.6777,0.6642,1.5002,1.5361
