,depth,gr,d_res,s_res,den,vp
341,55.77840000000003,14.7559,1.8965,1.8926,1.54,1.7996
342,55.93080000000003,13.9039,1.9131,1.8936,1.5314,1.7996
343,56.08320000000003,13.8334,1.9521,1.9004,1.5331,2.125
344,56.235600000000034,13.7052,1.9619,1.9229,1.5545,2.125
345,56.388000000000034,13.4565,1.9775,1.9678,1.5889,2.125
346,56.540400000000034,13.5432,2.0234,2.0332,1.6133,2.1339
347,56.692800000000034,12.2057,2.043,2.1113,1.6251,2.1742
348,56.845200000000034,12.1426,2.0938,2.1836,1.6314,2.1198
349,56.997600000000034,11.6591,2.1172,2.2324,1.6186,2.0582
350,57.150000000000034,12.0209,2.2188,2.2598,1.5932,2.2041
351,57.302400000000034,11.7675,2.2949,2.2813,1.5737,1.9045
352,57.454800000000034,12.76,2.3594,2.3301,1.5635,1.9736
353,57.607200000000034,13.8201,2.6289,2.4395,1.562,1.9736
354,57.759600000000034,15.3782,2.6348,2.6328,1.5494,1.9274
355,57.912000000000035,15.4384,2.9063,2.8984,1.545,1.9274
356,58.064400000000035,15.9028,3.0293,3.1914,1.5283,2.7851
357,58.216800000000035,15.6326,2.9941,3.4355,1.5212,2.7709
358,58.369200000000035,15.1086,3.4707,3.5742,1.5145,2.4384
359,58.521600000000035,12.8495,3.4902,3.6172,1.5165,2.1691
360,58.674000000000035,11.3908,3.5391,3.6055,1.5208,1.8527
361,58.826400000000035,10.0234,3.4863,3.5625,1.5284,1.9301
362,58.978800000000035,9.8805,3.5,3.5059,1.5347,1.9879
363,59.131200000000035,8.9913,3.2227,3.4297,1.5302,1.926
364,59.283600000000035,8.8425,3.3223,3.3262,1.5126,1.8395
365,59.436000000000035,8.5374,3.1934,3.2051,1.501,1.8735
366,59.588400000000036,8.2058,3.0254,3.0879,1.5015,1.8476
367,59.740800000000036,8.0608,3.0332,3.002,1.4972,1.806
368,59.893200000000036,7.7901,2.9902,2.9629,1.5007,1.7917
369,60.045600000000036,7.2453,2.9629,2.9805,1.4965,1.8992
370,60.198000000000036,7.0881,2.9473,3.0254,1.4927,1.7857
371,60.350400000000036,6.9949,2.9277,3.0547,1.5009,1.8561
372,60.502800000000036,7.6188,2.9082,3.0391,1.518,1.849
373,60.655200000000036,8.2341,2.8672,2.9785,1.5331,1.7685
374,60.807600000000036,8.3616,2.7754,2.877,1.5398,1.8591
375,60.960000000000036,8.4328,2.7422,2.7402,1.5219,2.0276
376,61.11240000000004,7.451,2.6504,2.5898,1.5226,2.0003
377,61.26480000000004,7.1131,2.4746,2.4414,1.5174,1.97
378,61.41720000000004,7.0125,2.4238,2.3242,1.5229,1.9492
379,61.56960000000004,7.8067,2.3867,2.2539,1.5147,1.8376
380,61.72200000000004,8.396,2.416,2.2285,1.5167,1.8007
381,61.87440000000004,8.7841,2.3809,2.2305,1.5247,1.9402
382,62.02680000000004,7.9041,2.2402,2.2324,1.5199,2.3383
383,62.17920000000004,7.5747,2.209,2.2207,1.5071,2.0287
384,62.33160000000004,7.3593,2.1914,2.1836,1.499,2.0558
385,62.48400000000004,7.976,2.1406,2.1309,1.5125,2.0956
386,62.63640000000004,7.8894,2.1191,2.0859,1.5113,2.0791
387,62.78880000000004,8.1391,2.1113,2.0645,1.5039,2.1691
388,62.94120000000004,8.1546,2.1133,2.0645,1.5033,2.2395
389,63.09360000000004,8.5097,2.1191,2.0742,1.5102,2.3473
390,63.24600000000004,8.3493,2.1445,2.0898,1.5235,2.1325
391,63.39840000000004,8.4339,2.1621,2.1152,1.5135,2.0982
392,63.55080000000004,8.7403,2.1992,2.168,1.5264,2.2382
393,63.70320000000004,8.8809,2.3047,2.2559,1.5172,2.4179
394,63.85560000000004,8.3044,2.3438,2.3691,1.5211,2.4078
395,64.00800000000004,7.8694,2.4668,2.4902,1.5453,2.4598
396,64.16040000000004,7.7665,2.6074,2.5957,1.5455,2.4788
397,64.31280000000004,8.9928,2.7031,2.6836,1.5585,2.5083
398,64.46520000000004,9.4616,2.8027,2.7676,1.5531,2.4308
399,64.61760000000004,9.259,2.9141,2.8652,1.5375,2.5282
400,64.77000000000004,9.0198,2.9902,2.9805,1.5269,2.3637
401,64.92240000000004,8.1617,3.0664,3.1113,1.5245,2.5996
402,65.07480000000004,8.6844,3.3438,3.2598,1.5184,2.7009
403,65.22720000000004,7.9776,3.4395,3.418,1.5164,2.5632
404,65.37960000000004,8.3851,3.5352,3.5762,1.5163,2.421
405,65.53200000000004,7.7524,3.6074,3.7305,1.526,2.781
406,65.68440000000004,7.345,3.5547,3.8711,1.5318,2.923
407,65.83680000000004,7.6241,3.502,3.9258,1.5261,2.86
408,65.98920000000004,8.0101,3.4551,3.7813,1.5181,3.1007
409,66.14160000000004,8.4861,3.1973,3.4336,1.5236,3.3212
410,66.29400000000004,8.0819,2.9824,3.0234,1.5358,2.9407
411,66.44640000000004,8.0562,2.9238,2.6934,1.533,2.9126
412,66.59880000000004,8.9564,2.7461,2.5078,1.5199,2.9056
413,66.75120000000004,9.8133,2.4531,2.4629,1.5284,2.7906
414,66.90360000000004,10.2994,2.3867,2.4961,1.5152,2.8314
415,67.05600000000004,9.7626,2.2617,2.5156,1.4322,2.885
416,67.20840000000004,9.0074,2.2227,2.4453,1.339,2.6725
417,67.36080000000004,7.5828,2.1934,2.2949,1.284,2.5754
418,67.51320000000004,6.8981,2.127,2.1191,1.2826,2.505
419,67.66560000000004,6.1244,2.127,1.9795,1.2962,2.4384
420,67.81800000000004,6.2929,2.1523,1.9092,1.3056,2.8203
421,67.97040000000004,5.9088,2.2656,1.917,1.3267,2.9029
422,68.12280000000004,6.3298,2.3574,2.0098,1.3837,2.8633
423,68.27520000000004,6.2423,2.5273,2.1992,1.4551,3.0396
424,68.42760000000004,6.3106,2.6797,2.4883,1.5386,2.6813
425,68.58000000000004,5.9136,2.8984,2.834,1.5525,2.9415
426,68.73240000000004,6.2042,2.9863,3.168,1.5162,3.2209
427,68.88480000000004,6.1936,3.1289,3.4004,1.4814,3.3495
428,69.03720000000004,6.4336,3.2031,3.4473,1.482,3.5691
429,69.18960000000004,6.7731,3.2188,3.3125,1.5397,3.2831
430,69.34200000000004,7.5331,3.2363,3.1113,1.5789,3.191
431,69.49440000000004,8.4339,3.3105,2.9531,1.6035,2.6562
432,69.64680000000004,8.7693,3.375,2.8867,1.5844,2.719
433,69.79920000000004,9.6668,3.4121,2.9258,1.6213,3.0803
434,69.95160000000004,8.713,3.5274,3.0625,1.6832,3.6243
435,70.10400000000004,8.9601,3.9336,3.2676,1.8312,3.9921
436,70.25640000000004,8.5202,4.0117,3.5313,1.9738,3.8952
437,70.40880000000004,9.2197,4.3125,3.8359,2.0715,3.8315
438,70.56120000000004,8.044,4.5156,4.1445,2.1225,3.1883
439,70.71360000000004,6.4439,4.375,4.3633,2.126,2.7759
440,70.86600000000004,5.6759,4.2812,4.3476,2.1648,2.7912
441,71.01840000000004,6.1293,3.8242,4.0273,2.1689,2.6819
442,71.17080000000004,7.0201,3.3633,3.5156,2.1544,2.7214
443,71.32320000000004,6.605,3.1309,2.9902,2.0818,2.384
444,71.47560000000004,6.2825,2.832,2.5566,2.0438,2.2323
445,71.62800000000004,5.5498,2.5508,2.2422,2.0258,2.46
446,71.78040000000004,5.8295,2.4922,2.0371,2.0136,2.2151
447,71.93280000000004,5.5286,2.3066,1.9219,1.9876,2.1079
448,72.08520000000004,5.0727,2.1348,1.8809,1.9588,2.7963
611,96.92640000000006,33.1067,2.9652,2.6538,2.2614,1.8896
612,97.07880000000006,27.5686,2.9694,2.5798,2.1956,3.857
613,97.23120000000006,25.3115,2.9438,2.6531,2.2191,3.8141
614,97.38360000000006,24.3923,2.8812,2.8628,2.2497,3.5297
615,97.53600000000006,26.1925,2.7402,3.1224,2.338,2.7709
616,97.68840000000006,26.443,2.7073,3.2416,2.3166,2.9478
617,97.84080000000006,24.4693,2.6311,3.0771,2.2964,2.7215
618,97.99320000000006,22.2362,2.6023,2.7461,2.2438,2.4504
619,98.14560000000006,21.5529,2.505,2.4451,2.202,2.1498
620,98.29800000000006,21.3331,2.3573,2.2507,2.1524,1.7903
621,98.45040000000006,19.9168,2.3397,2.1475,2.1049,1.7237
622,98.60280000000006,19.3599,2.4152,2.1222,2.0711,1.7844
623,98.75520000000006,20.0855,2.582,2.1902,2.0383,2.0512
624,98.90760000000006,21.7873,2.7446,2.3838,2.079,2.1638
625,99.06000000000006,22.9728,2.8462,2.7412,2.1449,2.203
626,99.21240000000006,23.0085,3.0634,3.251,2.2124,2.9824
627,99.36480000000006,19.7578,3.2033,3.7252,2.2199,2.9824
628,99.51720000000006,16.8597,3.3433,3.8574,2.2076,2.9824
629,99.66960000000006,15.2999,3.6829,3.6277,2.2377,2.6847
630,99.82200000000006,19.6455,3.8449,3.3313,2.1869,2.332
631,99.97440000000006,24.0131,3.9498,3.2016,2.1457,3.0824
632,100.12680000000006,26.4438,4.1199,3.3418,2.1421,3.3032
633,100.27920000000006,25.4346,4.2789,3.7798,2.2647,4.1788
634,100.43160000000006,22.775,4.4823,4.4473,2.3977,4.0969
635,100.58400000000006,21.4356,4.6308,5.1406,2.3811,3.3924
636,100.73640000000006,20.7793,4.4236,5.5415,2.3244,3.3039
637,100.88880000000006,21.0296,4.0962,5.3085,2.3158,2.8049
638,101.04120000000006,21.1829,3.4614,4.374,2.3713,2.6039
639,101.19360000000006,20.8077,2.7866,3.2587,2.4132,2.1522
640,101.34600000000006,22.4565,2.5132,2.4223,2.3125,2.0456
641,101.49840000000006,23.5036,2.3547,1.9419,2.1424,2.0456
642,101.65080000000006,23.9247,2.2402,1.7318,2.0348,1.9732
643,101.80320000000006,21.2791,2.1837,1.7203,2.0118,1.9283
952,148.8948000000001,9.1887,2.7513,2.6199,2.2666,2.0039
953,149.0472000000001,10.308,2.8356,2.9199,2.3196,2.0039
954,149.1996000000001,10.3767,2.9282,3.1599,2.3267,2.004
955,149.3520000000001,8.967,3.0681,3.2408,2.3035,2.5896
956,149.5044000000001,7.3296,3.1498,3.1431,2.2524,1.8803
957,149.6568000000001,6.5216,3.0936,2.9518,2.1947,1.8429
958,149.8092000000001,6.685,3.0406,2.7685,2.1808,1.8373
959,149.9616000000001,6.638,3.014,2.6476,2.2028,2.1308
960,150.1140000000001,6.4249,2.964,2.6076,2.2296,2.1424
961,150.2664000000001,6.198,2.9102,2.6391,2.2459,2.2328
962,150.4188000000001,7.7369,2.8211,2.7026,2.2638,2.5553
963,150.5712000000001,9.8183,2.5349,2.731,2.2954,2.1268
964,150.7236000000001,11.9048,2.3901,2.641,2.3098,2.1597
965,150.8760000000001,13.2902,2.0498,2.385,2.3449,2.0775
966,151.0284000000001,14.1656,1.7388,2.0239,2.39,1.8761
967,151.1808000000001,14.6616,1.6497,1.676,2.2084,2.017
968,151.3332000000001,20.0436,1.4928,1.4055,1.7358,2.02
969,151.4856000000001,27.1687,1.3131,1.2212,1.561,2.0529
970,151.6380000000001,38.537,1.2296,1.1112,1.521,1.9797
971,151.7904000000001,43.0486,1.1943,1.0518,1.6239,1.8817
972,151.9428000000001,45.6567,1.1395,1.0223,1.6249,1.8743
973,152.0952000000001,40.6091,1.1277,1.0118,1.5625,1.8412
974,152.2476000000001,34.6502,1.1199,1.014,1.4476,2.0809
975,152.4000000000001,30.1448,1.115,1.023,1.3616,1.8189
976,152.5524000000001,28.3506,1.1104,1.0339,1.2951,1.765
977,152.7048000000001,28.4583,1.1118,1.0448,1.2608,1.8202
978,152.8572000000001,27.7053,1.1172,1.0554,1.2488,2.0733
979,153.0096000000001,26.2793,1.1173,1.0636,1.2555,2.0698
980,153.1620000000001,26.7403,1.1193,1.075,1.2682,1.9987
981,153.3144000000001,27.549,1.1288,1.0917,1.2921,1.8312
982,153.4668000000001,31.9422,1.136,1.1154,1.3394,1.8161
983,153.6192000000001,34.5598,1.145,1.1449,1.4595,1.8104
984,153.7716000000001,36.6043,1.1549,1.1718,1.6038,1.7565
985,153.9240000000001,37.8863,1.1679,1.1865,1.8042,1.6964
986,154.0764000000001,39.5781,1.1941,1.1847,1.9031,1.7202
987,154.2288000000001,39.9385,1.2199,1.1752,2.0039,1.7194
988,154.3812000000001,40.0269,1.266,1.1704,2.0099,1.7548
989,154.5336000000001,39.8229,1.2941,1.1828,1.9578,1.8446
990,154.6860000000001,38.5108,1.3278,1.22,1.8727,1.8937
991,154.8384000000001,34.4119,1.3784,1.2769,1.8768,1.909
992,154.9908000000001,30.587,1.3771,1.3315,2.0143,1.9322
993,155.1432000000001,29.3705,1.3906,1.355,2.1306,1.9147
994,155.2956000000001,28.5491,1.3871,1.3349,2.0981,1.8687
995,155.4480000000001,28.7707,1.3101,1.2783,1.9606,1.7943
996,155.6004000000001,28.7624,1.1797,1.1948,1.9443,1.6872
997,155.7528000000001,29.6078,1.0478,1.0885,1.9382,1.6617
998,155.9052000000001,26.5189,0.9598,0.9665,1.712,1.6305
999,156.0576000000001,21.183,0.8956,0.8452,1.5032,1.5731
1000,156.2100000000001,15.9276,0.8315,0.7443,1.388,1.5936
1001,156.3624000000001,13.6316,0.7973,0.6755,1.4428,1.7137
1002,156.5148000000001,14.02,0.7762,0.6414,1.4717,1.6947
1003,156.6672000000001,15.5063,0.7742,0.6409,1.4258,1.6596
1004,156.8196000000001,18.2214,0.7948,0.6737,1.3655,1.6263
1005,156.9720000000001,21.8451,0.8206,0.739,1.3713,1.6433
1006,157.1244000000001,26.8962,0.8548,0.8329,1.3626,1.628
1007,157.2768000000001,30.9672,0.9158,0.9461,1.371,1.6543
1008,157.4292000000001,33.2022,0.9902,1.0568,1.4647,1.6754
1009,157.5816000000001,35.3492,1.044,1.1335,1.6829,1.6379
1010,157.7340000000001,38.587,1.063,1.1539,1.8488,1.5958
1011,157.8864000000001,43.0039,1.0708,1.124,1.8451,1.5936
1012,158.0388000000001,43.7972,1.0751,1.0701,1.8533,1.5822
1013,158.1912000000001,40.9273,1.0749,1.0189,1.8942,1.6141
1014,158.3436000000001,34.8533,1.076,0.9863,1.9156,1.6137
1015,158.4960000000001,29.688,1.0764,0.9788,1.9031,1.5972
1016,158.6484000000001,27.1575,1.0781,0.9977,1.8478,1.5793
1017,158.8008000000001,26.4738,1.0731,1.0394,1.74,1.5672
1018,158.9532000000001,27.7774,1.0762,1.091,1.6211,1.5643
1019,159.1056000000001,30.4854,1.0875,1.131,1.5726,1.5796
1020,159.2580000000001,34.2436,1.0996,1.1418,1.6347,1.597
1021,159.4104000000001,38.1969,1.11,1.1217,1.759,1.6172
1022,159.5628000000001,42.7731,1.1245,1.0886,1.8652,1.6312
1023,159.7152000000001,45.7635,1.1391,1.0647,1.8649,1.6497
1024,159.8676000000001,45.7003,1.1533,1.0612,1.8471,1.6638
1025,160.0200000000001,43.6971,1.1648,1.0783,1.8462,1.6737
1026,160.1724000000001,42.5765,1.168,1.1074,1.8603,1.6836
1027,160.3248000000001,43.5015,1.1714,1.135,1.8838,1.6854
1028,160.4772000000001,44.5534,1.177,1.1509,1.9057,1.6987
1029,160.6296000000001,44.7635,1.1886,1.1557,1.9189,1.7014
1030,160.7820000000001,43.932,1.1967,1.1548,1.9292,1.6927
1031,160.9344000000001,43.2676,1.2019,1.155,1.935,1.6838
1032,161.0868000000001,43.5279,1.2039,1.1583,1.9443,1.6887
1033,161.2392000000001,44.2717,1.2033,1.1615,1.9502,1.6855
1034,161.3916000000001,44.8931,1.1954,1.1575,1.9517,1.6892
1035,161.5440000000001,44.5185,1.202,1.1406,1.9206,1.6862
1036,161.6964000000001,44.5759,1.212,1.1177,1.8994,1.6839
1037,161.8488000000001,43.6075,1.2219,1.1004,1.9079,1.6811
1038,162.0012000000001,41.7202,1.2285,1.1009,1.926,1.7205
1039,162.1536000000001,39.301,1.2361,1.1198,1.9028,1.7444
1040,162.3060000000001,37.3384,1.2381,1.1491,1.8796,1.7423
1041,162.4584000000001,37.667,1.234,1.1721,1.8859,1.746
1042,162.6108000000001,38.3787,1.2178,1.1748,1.9026,1.7
1043,162.7632000000001,38.2994,1.2009,1.1546,1.9194,1.672
1044,162.9156000000001,37.1766,1.1752,1.1123,1.9121,1.6901
1045,163.0680000000001,35.5514,1.1457,1.056,1.9424,1.6784
1046,163.2204000000001,35.7045,1.1225,0.9954,1.9436,1.6512
1047,163.3728000000001,34.7033,1.11,0.9504,1.9369,1.6286
1048,163.5252000000001,33.1244,1.1244,0.9407,1.9163,1.6172
1049,163.6776000000001,29.6501,1.1288,0.9775,1.894,1.6169
1050,163.8300000000001,28.3273,1.1251,1.0595,1.8842,1.6109
1051,163.9824000000001,28.3014,1.1309,1.166,1.7427,1.6359
1052,164.1348000000001,32.4534,1.1421,1.2448,1.7267,1.642
