,depth,gr,d_res,s_res,den,vp
113,570.7381999999936,41.7202,0.4555,0.3804,1.2091,2.1873
114,570.8905999999936,43.613,0.4555,0.3804,1.2091,2.1873
115,571.0429999999935,45.3751,0.6847,0.4262,1.2109,2.1873
116,571.1953999999935,44.3025,0.6977,0.5336,1.218,2.1873
117,571.3477999999934,42.0893,0.7116,0.6838,1.215,2.1873
118,571.5001999999934,41.0409,0.7229,0.7872,1.2542,2.2433
119,571.6525999999933,39.8777,0.701,0.7613,1.3907,2.1245
120,571.8049999999932,40.8423,0.6564,0.6694,1.5781,2.0924
121,571.9573999999932,38.5236,0.619,0.5952,1.5571,1.9076
122,572.1097999999931,38.8691,0.5928,0.5604,1.4315,1.8364
123,572.2621999999931,38.2235,0.5693,0.5591,1.3485,1.8469
124,572.414599999993,38.7481,0.5664,0.5769,1.3929,1.8521
125,572.566999999993,37.616,0.5833,0.5949,1.3966,1.8502
126,572.7193999999929,38.8064,0.5992,0.5994,1.3259,1.8322
127,572.8717999999928,38.3561,0.6182,0.5924,1.243,1.9445
128,573.0241999999928,40.6151,0.632,0.5878,1.2243,1.9548
129,573.1765999999927,44.8609,0.6352,0.5997,1.3066,2.0292
130,573.3289999999927,49.0543,0.632,0.6345,1.4811,2.192
131,573.4813999999926,52.7898,0.637,0.688,1.676,2.1558
132,573.6337999999926,50.8608,0.6539,0.7436,1.8572,2.2187
133,573.7861999999925,49.4609,0.667,0.7772,1.8861,2.1113
134,573.9385999999924,48.5547,0.6795,0.7752,1.8767,2.0821
135,574.0909999999924,49.3539,0.6938,0.7485,1.8602,2.1163
136,574.2433999999923,52.2722,0.7063,0.719,1.8423,2.0567
137,574.3957999999923,53.1834,0.7108,0.6997,1.8112,2.009
138,574.5481999999922,55.3062,0.7116,0.6912,1.6437,2.0508
139,574.7005999999922,53.051,0.7047,0.6863,1.5569,1.9728
140,574.8529999999921,48.1265,0.6869,0.6757,1.4516,1.973
141,575.005399999992,42.3889,0.6666,0.6551,1.3867,1.9613
142,575.157799999992,39.4831,0.6507,0.6281,1.3377,2.0092
143,575.3101999999919,40.2786,0.6448,0.6017,1.3386,1.7887
144,575.4625999999919,41.9437,0.6379,0.58,1.349,1.886
145,575.6149999999918,41.7382,0.6104,0.5635,1.3406,1.8367
146,575.7673999999918,42.1976,0.6148,0.5538,1.3028,1.8459
147,575.9197999999917,41.8631,0.6208,0.5558,1.2894,1.8764
148,576.0721999999917,42.821,0.6263,0.5754,1.2411,1.9284
149,576.2245999999916,44.904,0.6306,0.6144,1.2658,2.0375
150,576.3769999999915,50.1715,0.6411,0.667,1.2955,2.1569
151,576.5293999999915,57.2916,0.6506,0.7166,1.3455,2.1746
152,576.6817999999914,61.0284,0.6739,0.7435,1.4081,2.1088
153,576.8341999999914,60.6916,0.6834,0.7437,1.4902,2.0248
154,576.9865999999913,54.0192,0.6832,0.7306,1.5047,1.9386
155,577.1389999999913,49.0806,0.702,0.7188,1.4718,1.9658
156,577.2913999999912,46.0044,0.6989,0.7163,1.4347,1.9915
157,577.4437999999911,47.5304,0.6983,0.7245,1.4763,1.985
158,577.5961999999911,50.6031,0.7084,0.7388,1.4969,1.9386
159,577.748599999991,50.23,0.6994,0.7519,1.5207,1.9904
160,577.900999999991,52.4897,0.6983,0.7592,1.5644,2.0633
161,578.0533999999909,52.4161,0.6994,0.7595,1.6375,2.0446
162,578.2057999999909,52.4684,0.6978,0.7542,1.73,1.9925
163,578.3581999999908,51.509,0.6973,0.7471,1.8017,2.0553
164,578.5105999999907,51.7004,0.6975,0.7414,1.7764,2.0827
165,578.6629999999907,51.4476,0.6884,0.7361,1.7612,2.1451
166,578.8153999999906,51.6513,0.6876,0.7292,1.7422,2.1525
167,578.9677999999906,50.2874,0.6884,0.7209,1.7527,2.0534
168,579.1201999999905,51.0227,0.6884,0.7139,1.6266,1.9387
169,579.2725999999905,49.5841,0.6822,0.7113,1.4763,1.9301
170,579.4249999999904,49.2479,0.685,0.7152,1.3426,1.8875
171,579.5773999999903,47.4268,0.6812,0.723,1.3144,1.8355
172,579.7297999999903,48.0709,0.6739,0.7299,1.3936,1.9402
173,579.8821999999902,49.3969,0.6767,0.7335,1.4782,1.8864
174,580.0345999999902,50.8845,0.6751,0.7342,1.4958,1.9476
175,580.1869999999901,53.7995,0.6735,0.7323,1.4477,2.1689
176,580.3393999999901,55.0497,0.672,0.7277,1.4619,2.0924
177,580.49179999999,59.6511,0.6689,0.721,1.5871,1.9448
178,580.64419999999,60.4901,0.6673,0.713,1.7201,2.1039
179,580.7965999999899,64.178,0.6682,0.7056,1.8246,2.1337
180,580.9489999999898,62.1898,0.6695,0.7009,1.8283,2.0016
181,581.1013999999898,61.6918,0.6701,0.6998,1.8335,2.03
182,581.2537999999897,58.2892,0.6722,0.7033,1.7509,2.0139
183,581.4061999999897,60.6173,0.6726,0.7111,1.6789,2.1442
184,581.5585999999896,62.2086,0.6737,0.7206,1.6132,2.0832
185,581.7109999999896,63.4709,0.6727,0.7271,1.6182,2.0843
186,581.8633999999895,65.3142,0.677,0.727,1.655,2.0053
187,582.0157999999894,65.5704,0.6812,0.7218,1.721,1.8699
188,582.1681999999894,68.5992,0.683,0.7169,1.8165,1.8454
189,582.3205999999893,64.884,0.6883,0.7172,1.8797,1.8086
190,582.4729999999893,62.5349,0.692,0.7235,1.8128,1.7721
191,582.6253999999892,56.6293,0.7009,0.7348,1.6827,1.7935
192,582.7777999999892,55.9484,0.7087,0.7507,1.5921,1.9023
193,582.9301999999891,56.2694,0.7219,0.7717,1.5272,2.0005
194,583.082599999989,60.5476,0.7305,0.7943,1.4847,2.0003
195,583.234999999989,59.6751,0.7323,0.8065,1.5328,2.1504
196,583.3873999999889,57.3994,0.7278,0.7952,1.6306,2.091
197,583.5397999999889,51.9923,0.7283,0.7613,1.7326,1.9844
198,583.6921999999888,49.2137,0.7267,0.7203,1.5909,1.9738
199,583.8445999999888,47.0225,0.7229,0.6868,1.5102,1.8872
200,583.9969999999887,48.8364,0.7097,0.667,1.49,1.9014
201,584.1493999999886,49.5937,0.7103,0.6614,1.4697,1.7853
202,584.3017999999886,50.6009,0.7095,0.6666,1.3892,1.8227
203,584.4541999999885,47.5219,0.7058,0.6785,1.3866,1.7667
204,584.6065999999885,49.5194,0.7089,0.6946,1.4769,1.9297
205,584.7589999999884,51.95,0.7107,0.7127,1.6567,2.183
206,584.9113999999884,57.5821,0.7226,0.7314,1.7218,2.2802
207,585.0637999999883,58.6489,0.7276,0.7514,1.7399,2.2224
208,585.2161999999882,56.812,0.7429,0.7728,1.6698,2.0588
209,585.3685999999882,52.1433,0.7494,0.7898,1.5957,1.9617
210,585.5209999999881,51.0408,0.7563,0.7935,1.5801,2.0076
211,585.6733999999881,51.3066,0.7507,0.7828,1.5917,1.9473
212,585.825799999988,53.7117,0.7475,0.766,1.4838,1.8789
213,585.978199999988,53.405,0.7525,0.7522,1.4111,1.8949
214,586.1305999999879,52.9982,0.7545,0.7466,1.4056,1.877
215,586.2829999999879,50.4091,0.7503,0.748,1.4673,2.0912
216,586.4353999999878,49.4863,0.752,0.7516,1.4645,2.3004
217,586.5877999999877,49.0794,0.7537,0.7539,1.4114,2.1644
218,586.7401999999877,49.8471,0.7566,0.7549,1.3646,2.1891
219,586.8925999999876,51.2109,0.7698,0.755,1.3593,1.9971
220,587.0449999999876,50.8059,0.7771,0.7567,1.4167,1.9134
221,587.1973999999875,51.3525,0.7936,0.7669,1.5144,2.0768
222,587.3497999999875,49.0281,0.8065,0.793,1.609,2.2103
223,587.5021999999874,50.4492,0.8193,0.8347,1.6592,2.2871
224,587.6545999999873,49.8641,0.8321,0.8788,1.7514,2.1696
225,587.8069999999873,51.2595,0.8358,0.9061,1.8932,2.0633
226,587.9593999999872,49.355,0.8399,0.9072,1.9619,2.1987
227,588.1117999999872,47.4662,0.8443,0.889,1.9263,2.2194
228,588.2641999999871,45.7831,0.8219,0.8607,1.8926,2.2268
229,588.416599999987,45.5749,0.8189,0.8252,1.8724,2.4076
230,588.568999999987,43.824,0.8181,0.7846,1.8703,2.2128
231,588.7213999999869,42.5348,0.808,0.7469,1.6091,2.1632
232,588.8737999999869,42.8685,0.8116,0.7246,1.4465,2.0767
233,589.0261999999868,46.3344,0.8088,0.7274,1.3462,2.1727
234,589.1785999999868,46.9659,0.8081,0.7571,1.3739,2.2527
235,589.3309999999867,51.6021,0.8096,0.8064,1.3831,2.2688
236,589.4833999999867,53.2411,0.8046,0.8587,1.4217,2.0685
237,589.6357999999866,57.8301,0.8076,0.8885,1.4862,2.0765
238,589.7881999999865,55.5559,0.8079,0.874,1.5559,2.0185
239,589.9405999999865,54.6615,0.8083,0.8191,1.5772,2.0602
240,590.0929999999864,50.0703,0.8088,0.7518,1.5581,2.1933
241,590.2453999999864,49.8651,0.8433,0.7016,1.4937,2.1311
242,590.3977999999863,47.9961,0.8575,0.685,1.3825,2.1924
243,590.5501999999863,51.1244,0.8389,0.7048,1.3131,2.22
244,590.7025999999862,50.4575,0.8278,0.7512,1.2603,1.907
245,590.8549999999861,53.2222,0.8004,0.7988,1.285,2.2389
246,591.0073999999861,52.9349,0.7722,0.8132,1.3434,2.2031
247,591.159799999986,49.9131,0.7863,0.7826,1.3889,2.0402
248,591.312199999986,43.5501,0.8066,0.7341,1.3927,1.9324
249,591.4645999999859,38.5698,0.8132,0.701,1.3395,2.022
250,591.6169999999859,37.2865,0.8231,0.7005,1.3295,2.0906
251,591.7693999999858,40.2938,0.8218,0.7358,1.298,2.2009
252,591.9217999999858,41.379,0.8193,0.7981,1.2893,2.0666
253,592.0741999999857,44.6341,0.8295,0.8628,1.2872,2.3721
254,592.2265999999856,47.2839,0.8524,0.899,1.3237,2.2661
255,592.3789999999856,51.7462,0.8682,0.8958,1.3908,2.2152
256,592.5313999999855,50.7673,0.8727,0.8675,1.4887,2.2972
257,592.6837999999855,50.3722,0.8778,0.83,1.616,2.3428
258,592.8361999999854,46.5656,0.8427,0.7877,1.6884,2.4038
259,592.9885999999854,46.4422,0.824,0.7394,1.685,2.4066
260,593.1409999999853,42.8934,0.8083,0.6911,1.4822,2.2739
261,593.2933999999852,43.293,0.7969,0.6565,1.3302,1.9654
262,593.4457999999852,41.4045,0.8006,0.6482,1.2308,1.8294
263,593.5981999999851,43.2643,0.7967,0.6712,1.2141,1.9062
264,593.7505999999851,42.2157,0.791,0.7197,1.2511,2.2143
265,593.902999999985,45.9162,0.7714,0.7773,1.3114,2.2569
266,594.055399999985,46.7087,0.7845,0.8242,1.3758,2.2482
267,594.2077999999849,47.5035,0.7949,0.8462,1.393,2.2595
268,594.3601999999848,46.9737,0.798,0.8394,1.3653,2.2978
269,594.5125999999848,47.4411,0.7971,0.8135,1.4029,2.233
270,594.6649999999847,50.2043,0.8263,0.7858,1.4302,1.9594
271,594.8173999999847,52.0071,0.8216,0.7697,1.4813,1.9619
272,594.9697999999846,53.7242,0.817,0.7686,1.501,2.0784
273,595.1221999999846,53.7161,0.8049,0.7758,1.5564,2.3039
274,595.2745999999845,52.367,0.7616,0.7748,1.5677,1.9582
275,595.4269999999844,52.7479,0.7589,0.7552,1.4869,1.9605
276,595.5793999999844,53.7515,0.7658,0.7264,1.3889,2.1054
277,595.7317999999843,54.4247,0.7609,0.7069,1.4002,2.0854
278,595.8841999999843,55.1191,0.7567,0.7068,1.4868,2.1637
279,596.0365999999842,52.9905,0.7559,0.7257,1.4971,2.1973
280,596.1889999999842,51.9976,0.7572,0.7551,1.4458,2.1236
