,depth,gr,d_res,s_res,den
0,0.0,12.3365,0.6139,0.564,1.3725
1,0.1524,16.7104,0.585,0.5521,1.4235
2,0.3048,18.2396,0.7295,0.5814,1.4222
3,0.45720000000000005,19.8346,0.5803,0.6281,1.4346
4,0.6096,20.9363,0.3438,0.5617,1.4459
5,0.762,22.1038,0.3565,0.5721,1.4505
6,0.9144000000000001,20.9692,0.3702,0.5456,1.4531
7,1.0668,22.7615,0.3023,0.4449,1.4506
8,1.2192,22.2517,0.2946,0.4728,1.4463
9,1.3716000000000002,23.9618,0.3267,0.5279,1.4496
10,1.524,24.1591,0.3607,0.5113,1.4538
11,1.6764000000000001,25.2608,0.2955,0.4518,1.46
12,1.8288000000000002,26.7736,0.3569,0.5801,1.4806
13,1.9812,27.6451,0.4323,0.7509,1.5132
14,2.1336,33.1042,0.4781,0.7846,1.5534
15,2.286,37.215,0.8522,0.9802,1.6085
16,2.4384,43.595,1.2275,1.1395,1.6477
17,2.5908,47.788,1.3143,1.1508,1.6537
18,2.7432000000000003,52.836,1.298,1.3014,1.6447
19,2.8956,53.3457,1.2995,1.6464,1.6259
20,3.048,51.2574,1.5363,1.3105,1.6049
21,3.2004,47.6893,1.4321,1.6003,1.5754
22,3.3528000000000002,45.7983,1.2596,1.8346,1.5046
23,3.5052000000000003,44.0389,1.1978,1.8629,1.4755
24,3.6576000000000004,43.6278,1.4226,1.7154,1.5144
25,3.81,45.4037,1.3404,1.9421,1.5502
26,3.9624,47.1302,2.1942,1.8377,1.5491
27,4.1148,50.3037,1.8937,2.0236,1.5644
28,4.2672,51.4877,1.6232,2.1672,1.5936
29,4.4196,53.8226,2.231,1.9321,1.5512
30,4.572,53.6746,1.892,2.0365,1.5083
31,4.7244,55.2038,1.8695,1.9504,1.5359
32,4.8768,54.7598,1.9545,1.8199,1.5332
33,5.0292,55.2038,1.7654,2.0507,1.5154
34,5.1816,54.2337,1.7564,2.0874,1.5417
35,5.3340000000000005,53.132,1.8484,1.9929,1.5726
36,5.486400000000001,55.73,1.867,1.8803,1.624
37,5.638800000000001,59.775,1.5958,2.1962,1.7272
38,5.7912,65.563,1.8882,1.9317,1.8358
39,5.9436,67.9637,2.1791,1.9752,1.838
40,6.096,69.2134,1.9365,2.1303,1.7722
41,6.2484,69.9533,2.0125,2.0389,1.7208
42,6.4008,70.6604,1.9,2.0349,1.6851
43,6.5532,71.2194,1.8568,2.0396,1.7244
44,6.7056000000000004,73.6366,1.9162,2.0355,1.8743
45,6.8580000000000005,75.6591,2.0134,2.0003,1.9744
46,7.010400000000001,77.7638,1.9294,1.962,1.8737
47,7.162800000000001,76.7936,1.9045,1.9803,1.8265
48,7.315200000000001,75.3466,1.9905,1.8998,1.8422
49,7.4676,73.1268,1.8261,1.9068,1.8063
50,7.62,70.9234,1.7047,1.8924,1.7773
51,7.7724,68.8187,1.6511,1.8876,1.792
52,7.9248,65.6781,1.6058,1.8372,1.8117
53,8.077200000000001,68.8681,1.7405,1.7734,1.8286
54,8.2296,72.5185,1.7648,1.7381,1.8688
55,8.382,76.4812,1.7967,1.7021,1.9491
56,8.5344,76.0701,1.6465,1.7106,1.9933
57,8.6868,71.7127,1.6468,1.7185,1.9628
58,8.8392,68.9996,1.5899,1.6629,1.9521
59,8.9916,65.6616,1.6135,1.6649,1.9702
60,9.144,66.7633,1.5947,1.6359,1.9644
61,9.2964,69.1312,1.571,1.5483,1.9561
62,9.4488,72.2225,1.5832,1.6216,1.9742
63,9.6012,75.0671,1.5167,1.5724,1.9657
64,9.7536,75.6426,1.5594,1.5223,1.9514
65,9.906,76.1524,1.4001,1.3906,1.9393
66,10.0584,73.7845,1.2294,1.3711,1.8743
67,10.2108,71.1207,1.3648,1.4101,1.8145
68,10.3632,69.0983,1.2035,1.3266,1.8186
69,10.515600000000001,70.9235,1.2383,1.3272,1.8396
70,10.668000000000001,74.0805,1.2587,1.2557,1.8397
