,depth,gr,d_res,s_res,den,vp
334,92.81160000000003,3.52,798.9014,398.8069,2.9062,5.8764
335,92.96400000000003,3.2707,794.4508,398.9885,2.9112,5.8764
336,93.11640000000003,3.0942,925.5386,429.6099,2.8805,5.8764
337,93.26880000000003,3.6401,1053.1832,471.686,2.8034,5.8764
338,93.42120000000003,4.1965,1265.6987,536.5457,2.8108,5.8764
339,93.57360000000003,4.5711,1461.1168,598.3342,2.8724,5.8764
340,93.72600000000003,4.4971,1466.1975,609.4444,2.9604,5.8764
341,93.87840000000003,4.5524,1139.9692,523.5994,2.8749,5.8764
342,94.03080000000003,5.8503,783.1846,398.6845,2.6607,5.8764
343,94.18320000000003,6.9306,618.0449,330.7109,2.5371,6.5789
344,94.33560000000003,6.4981,518.9922,276.4902,2.6401,6.3734
345,94.48800000000003,6.2502,473.6519,230.2475,2.6492,6.4359
346,94.64040000000003,6.922,492.1146,309.2953,2.5229,6.718
347,94.79280000000003,7.2336,490.7836,277.7906,2.4128,7.1301
348,94.94520000000003,6.4453,346.5351,173.7,2.3673,6.6876
349,95.09760000000003,3.8453,276.211,153.7993,2.5787,6.9876
350,95.25000000000003,3.4072,237.368,139.5621,2.6814,6.6421
351,95.40240000000003,4.215,103.6387,113.8973,2.8945,6.1731
352,95.55480000000003,4.6089,73.626,53.0619,2.9494,6.4205
353,95.70720000000003,5.7209,60.8384,37.657,2.8451,5.7794
354,95.85960000000003,4.4822,67.4418,36.2619,2.665,5.8934
355,96.01200000000003,5.6117,89.4131,40.697,2.6322,6.1664
356,96.16440000000003,7.0153,105.2864,42.3556,2.6344,6.033
357,96.31680000000003,7.8131,107.3821,42.9081,2.5998,5.9201
358,96.46920000000003,6.4479,90.8431,38.2252,2.4577,5.6216
359,96.62160000000003,4.7895,87.7279,36.1852,2.4289,5.0241
360,96.77400000000003,5.5594,88.4007,35.8728,2.4518,5.0244
361,96.92640000000003,6.8396,87.9518,35.7206,2.4291,5.368
362,97.07880000000003,5.659,89.5271,36.9015,2.4361,6.1896
363,97.23120000000003,4.5173,90.7641,37.3892,2.4269,6.2482
364,97.38360000000003,4.4141,95.3994,39.347,2.4831,6.1223
365,97.53600000000003,6.1673,106.838,42.3913,2.5947,5.5547
