,depth,gr,d_res,s_res,den
1019,155.36849999999998,4.9612,0.2189,0.3871,1.43
1020,155.52089999999998,5.2145,0.2189,0.3871,1.4395
1021,155.67329999999998,5.1212,0.2385,0.3003,1.4682
1022,155.82569999999998,5.1408,0.3231,0.2842,1.4831
1023,155.97809999999998,5.2033,0.3372,0.3154,1.4867
1024,156.13049999999998,5.319,0.3629,0.3887,1.4909
1025,156.28289999999998,5.6335,0.3893,0.4872,1.5128
1026,156.43529999999998,5.7153,0.4084,0.5526,1.5438
1027,156.58769999999998,5.8014,0.4132,0.5398,1.542
1028,156.74009999999998,5.7017,0.4051,0.4876,1.522
1029,156.89249999999998,5.5134,0.3968,0.4467,1.4861
1030,157.04489999999998,5.4868,0.3812,0.4335,1.4888
1031,157.19729999999998,5.4912,0.3754,0.4457,1.5027
1032,157.34969999999998,5.621,0.3846,0.4732,1.5318
1033,157.50209999999998,5.6419,0.4025,0.4992,1.5315
1034,157.65449999999998,6.0072,0.4143,0.5081,1.5083
1035,157.80689999999998,6.8759,0.4257,0.4988,1.4893
1036,157.95929999999998,7.4424,0.4333,0.4834,1.4818
1037,158.11169999999998,7.1501,0.4361,0.4732,1.504
1038,158.26409999999998,6.271,0.4317,0.4712,1.5395
1039,158.41649999999998,5.6706,0.4202,0.4736,1.5922
1040,158.56889999999999,5.2026,0.4183,0.4748,1.6489
1041,158.72129999999999,4.9519,0.4098,0.4711,1.7285
1042,158.87369999999999,4.693,0.4041,0.464,1.8095
1043,159.02609999999999,5.0362,0.4037,0.4572,1.7847
1044,159.17849999999999,5.3445,0.406,0.4534,1.5365
1045,159.33089999999999,5.3882,0.4081,0.4534,1.3534
1046,159.48329999999999,5.3626,0.412,0.4562,1.271
1047,159.63569999999999,5.1284,0.4135,0.46,1.2843
1048,159.7881,5.1304,0.4141,0.4624,1.3634
1049,159.9405,5.2786,0.4113,0.462,1.3556
1050,160.0929,6.5578,0.4084,0.4592,1.3523
1051,160.2453,7.8479,0.4078,0.4553,1.2988
1052,160.3977,8.4029,0.4068,0.4516,1.301
1053,160.5501,8.2928,0.4049,0.4489,1.2959
1054,160.7025,8.2737,0.4041,0.4471,1.2917
1055,160.8549,8.9301,0.4045,0.4462,1.2982
1056,161.0073,9.233,0.4051,0.4462,1.315
1057,161.1597,9.3894,0.4062,0.4467,1.3334
1058,161.3121,9.3995,0.4068,0.4473,1.3981
1059,161.4645,9.4383,0.4072,0.4474,1.5291
1060,161.6169,9.2193,0.4075,0.4471,1.7209
1061,161.7693,8.9901,0.4076,0.4464,1.8205
1062,161.9217,8.775,0.4074,0.4459,1.6614
1063,162.0741,9.0304,0.4079,0.4459,1.5232
1064,162.2265,9.053,0.4092,0.4467,1.4336
1065,162.3789,9.0705,0.4102,0.4477,1.4283
1066,162.5313,10.1699,0.4098,0.4487,1.4264
1067,162.6837,12.7857,0.4108,0.4491,1.4361
1068,162.8361,18.5156,0.4133,0.449,1.4629
1069,162.9885,25.1698,0.4142,0.4488,1.5051
1070,163.1409,30.0091,0.4147,0.4491,1.5466
1071,163.2933,34.3308,0.4153,0.4504,1.5983
1072,163.4457,37.8122,0.4177,0.4523,1.6614
1073,163.5981,41.718,0.4191,0.454,1.7442
1074,163.7505,44.9945,0.4192,0.4553,1.8484
1075,163.9029,48.8066,0.4192,0.4561,1.9566
1076,164.0553,52.1168,0.4182,0.4567,2.0512
1077,164.2077,54.1745,0.4174,0.457,1.8094
1078,164.3601,51.5532,0.4172,0.4564,1.5656
1079,164.5125,51.3292,0.4164,0.4545,1.3972
1080,164.6649,48.76,0.4155,0.4518,1.3623
1081,164.8173,48.8344,0.4131,0.4492,1.3585
1082,164.9697,46.831,0.4103,0.447,1.355
1083,165.1221,49.1642,0.4096,0.4454,1.353
1084,165.2745,49.9695,0.4093,0.444,1.3594
1085,165.4269,50.7532,0.4089,0.4428,1.3643
1086,165.5793,49.8214,0.4089,0.442,1.3668
1087,165.7317,48.9743,0.4089,0.442,1.3633
1088,165.8841,49.031,0.4085,0.4428,1.37
1089,166.0365,48.9374,0.4084,0.4438,1.391
1090,166.1889,49.783,0.4088,0.4446,1.4591
1091,166.3413,52.7338,0.4073,0.4448,1.5966
1092,166.4937,51.5955,0.4082,0.4443,1.7773
1093,166.6461,53.5513,0.4093,0.4431,1.9931
1094,166.7985,51.6722,0.4094,0.4416,1.8101
1095,166.9509,52.6135,0.4079,0.4404,1.6515
1096,167.1033,50.8926,0.4081,0.4405,1.5042
1097,167.2557,51.7413,0.4104,0.4424,1.5083
