,depth,gr,d_res,s_res,den,vp
767,116.94920000000002,24.6223,8.4165,8.9017,1.9693,2.8389
768,117.10160000000002,24.5536,8.6972,9.1518,1.9721,2.8389
769,117.254,26.4335,8.7232,9.1487,1.9766,2.8249
770,117.4064,28.6854,8.6476,9.2098,1.9723,2.8134
771,117.5588,31.0915,8.9927,9.5104,1.9794,2.8164
772,117.7112,32.8788,9.5663,10.0403,1.9677,2.8194
773,117.8636,31.6074,9.8348,10.2925,1.9619,2.8203
774,118.016,29.5996,9.7921,10.2865,1.9326,2.8231
775,118.1684,26.739,9.832,10.3843,1.9186,2.8129
776,118.3208,26.5247,9.964,10.4199,1.9134,2.8141
777,118.4732,25.935,9.9614,10.4313,1.9085,2.8122
778,118.6256,27.2416,10.0137,10.4859,1.9109,2.8126
779,118.778,27.0636,10.0932,10.6307,1.9065,2.8423
780,118.9304,28.0019,10.1436,10.6903,1.9067,2.8453
781,119.0828,27.199,10.1295,10.6661,1.9126,2.8459
782,119.2352,26.7217,10.1924,10.6909,1.9231,2.856
783,119.3876,25.1328,10.1856,10.6866,1.931,2.8692
784,119.54,24.7619,10.297,10.9546,1.9521,2.8785
785,119.6924,25.6646,10.5729,11.2606,1.9476,2.8768
786,119.8448,25.9145,10.5194,11.2931,1.9416,2.8756
787,119.9972,26.2237,10.7151,11.4059,1.9297,2.8656
788,120.1496,25.7447,10.6805,11.4178,1.9232,2.8806
789,120.302,25.973,10.6751,11.4006,1.9333,2.8747
790,120.4544,24.8331,10.7621,11.4525,1.9405,2.8799
791,120.6068,24.8911,10.8015,11.4848,1.9519,2.8839
792,120.7592,25.1333,10.838,11.5151,1.9355,2.8723
793,120.9116,25.9354,10.8164,11.5458,1.9177,2.8864
794,121.06400000000001,25.9946,10.8101,11.5381,1.9191,2.8939
795,121.21640000000001,27.1753,10.8961,11.537,1.9248,2.9106
796,121.36880000000001,28.4881,11.3018,11.9639,1.9409,2.9067
797,121.52120000000001,30.1806,11.5074,12.2372,1.96,2.9037
798,121.67360000000001,30.6524,11.5569,12.2581,1.9661,2.9155
799,121.82600000000001,30.9793,11.719,12.4192,1.9742,2.9232
800,121.97840000000001,30.2766,12.029,12.7285,1.9728,2.9282
801,122.13080000000001,29.5413,11.984,12.663,1.9711,2.9371
802,122.28320000000001,30.6427,12.0587,12.6452,1.9541,2.9491
803,122.43560000000001,30.3622,12.0655,12.6297,1.9527,2.9484
804,122.58800000000001,29.5927,11.9778,12.5392,1.9729,2.9502
805,122.74040000000001,28.0748,12.3156,12.6898,2.0018,2.9963
806,122.89280000000001,27.7903,12.7528,12.9751,2.0053,2.9721
807,123.04520000000001,27.7522,12.7747,12.9686,2.0216,2.9764
808,123.19760000000001,28.2799,12.699,12.9903,2.0476,2.9717
809,123.35000000000001,30.3312,12.9418,13.0014,2.0351,2.9655
810,123.50240000000001,30.6401,13.1017,13.1825,2.0196,2.9586
811,123.65480000000001,27.6189,13.255,13.258,2.0068,2.9666
812,123.80720000000001,24.4797,13.2948,13.2841,2.0291,2.985
813,123.95960000000001,23.9564,13.2839,13.2787,2.0508,3.0069
814,124.11200000000001,24.0487,13.3367,13.2585,2.0376,3.0002
815,124.26440000000001,24.2706,13.2865,13.2603,2.039,3.0246
816,124.41680000000001,24.4239,12.8677,12.7323,2.0191,3.0521
817,124.56920000000001,25.635,12.2492,12.0025,2.0371,3.0212
818,124.72160000000001,26.7618,12.5172,12.4312,2.0242,3.0179
819,124.87400000000001,25.1766,12.4127,12.2241,2.0307,2.7568
820,125.02640000000001,23.7553,7.5274,7.2968,1.9846,2.7532
821,125.17880000000001,22.094,5.7067,5.4166,1.8899,2.7502
822,125.33120000000001,22.0413,5.6799,5.3953,1.8049,2.7466
823,125.48360000000001,22.3663,5.5567,5.271,1.7615,2.743
824,125.63600000000001,22.5828,4.569,4.4004,1.7601,2.5692
825,125.78840000000001,23.5529,5.0518,4.8067,1.759,2.4937
826,125.94080000000001,23.5039,5.131,4.9129,1.7707,2.4931
827,126.09320000000001,23.0767,5.1136,4.9052,1.7899,2.4919
828,126.24560000000001,20.7132,5.5172,5.3305,1.8139,2.4904
829,126.39800000000001,20.8575,6.3507,6.0977,1.8247,2.4832
830,126.55040000000001,21.2791,6.0235,5.7221,1.8278,2.5056
831,126.70280000000001,23.2963,6.02,5.6272,1.8459,2.4743
832,126.85520000000001,23.2945,5.9519,5.6925,1.8375,2.4387
833,127.00760000000001,23.3193,5.4026,5.0946,1.843,2.3709
834,127.16000000000001,23.6555,4.6208,4.2885,1.8318,2.4227
835,127.31240000000001,24.361,4.6551,4.2777,1.81,2.4873
836,127.46480000000001,24.7899,4.7641,4.461,1.7841,2.4508
837,127.61720000000001,25.5271,4.6718,4.3352,1.7515,2.4389
838,127.76960000000001,26.4158,4.2608,3.9334,1.738,2.4328
839,127.92200000000001,28.4677,4.2031,3.9253,1.7348,2.4365
840,128.07440000000003,29.9102,4.3314,4.0126,1.7412,2.4402
841,128.22680000000003,30.82,4.2324,3.9245,1.7467,2.3308
842,128.37920000000003,30.8131,4.4372,4.1387,1.7627,2.3728
843,128.53160000000003,31.6948,4.4119,4.1213,1.7702,2.3686
844,128.68400000000003,31.7678,4.4867,4.189,1.7669,2.3674
845,128.83640000000003,31.8341,4.4926,4.1557,1.7446,2.3653
846,128.98880000000003,31.0243,4.3186,4.0585,1.734,2.3837
847,129.14120000000003,29.9709,4.3332,4.0369,1.728,2.4309
848,129.29360000000003,28.9069,4.2424,3.9944,1.7272,2.4595
849,129.44600000000003,28.4369,4.2361,3.9765,1.7344,2.4688
850,129.59840000000003,28.1673,4.2324,3.9674,1.7419,2.479
851,129.75080000000003,29.2019,4.5499,4.2997,1.7639,2.481
852,129.90320000000003,30.9219,4.3543,4.1227,1.7592,2.5363
853,130.05560000000003,32.0372,4.6506,4.4248,1.7503,2.5128
854,130.208,31.4614,5.2756,4.9981,1.7402,2.5119
855,130.3604,29.5809,5.8819,5.6221,1.7559,2.6006
856,130.5128,29.1573,6.0638,5.7697,1.7616,2.6495
857,130.6652,30.6463,6.3312,6.0724,1.7697,2.6463
858,130.8176,32.8005,6.0866,5.8726,1.7964,2.6424
859,130.97,34.9546,5.9345,5.7459,1.8394,2.6392
860,131.1224,35.5943,5.8572,5.6577,1.8886,2.5736
861,131.2748,34.4149,5.8735,5.6454,1.9069,2.576
862,131.4272,33.2537,5.8176,5.6358,1.9148,2.6239
863,131.5796,33.8468,5.56,5.4053,1.8857,2.63
864,131.732,36.1388,5.7797,5.5925,1.864,2.6401
865,131.8844,36.671,5.8712,5.6746,1.8627,2.6919
866,132.0368,36.97,5.6705,5.5843,1.8674,2.7682
867,132.1892,36.7536,7.0221,6.8626,1.8671,2.8222
868,132.3416,38.3587,7.522,7.6129,1.865,2.8275
869,132.494,38.24,7.6001,7.6097,1.8539,2.8334
870,132.6464,38.5178,7.5818,7.6108,1.8655,2.8388
871,132.7988,38.7077,7.5496,7.6045,1.8618,2.673
872,132.9512,39.2191,7.4952,7.5972,1.8461,2.6713
873,133.1036,39.1102,7.8154,7.8156,1.8518,2.6599
874,133.256,39.1811,7.806,7.9466,1.8278,2.6574
875,133.4084,38.3636,7.7747,7.9081,1.822,2.6531
876,133.5608,37.1213,7.7517,7.8573,1.8191,2.6067
877,133.7132,37.0595,6.9442,7.1043,1.8192,2.5491
878,133.8656,38.3279,6.5371,6.6169,1.826,2.5468
879,134.018,40.2284,6.3204,6.3404,1.846,2.5439
880,134.1704,40.4037,5.8778,5.8887,1.8669,2.541
881,134.3228,37.6761,5.7501,5.7404,1.8885,2.5491
882,134.4752,34.9621,5.7602,5.74,1.9026,2.5491
883,134.6276,31.679,5.5271,5.5815,1.9029,2.5564
884,134.78,31.7733,4.9754,5.0685,1.9158,2.5528
885,134.9324,31.8623,5.4918,5.6156,1.9226,2.5525
886,135.0848,32.8898,5.3954,5.5512,1.9335,2.549
887,135.2372,32.9045,5.7373,5.8571,1.9476,2.5455
888,135.3896,32.5734,5.1806,5.255,1.923,2.5418
889,135.542,33.7887,4.3193,4.4178,1.8363,2.538
890,135.6944,33.5073,4.2735,4.3487,1.7991,2.534
891,135.8468,35.1062,4.1424,4.1703,1.802,2.5228
892,135.9992,34.4678,4.1759,4.1845,1.8469,2.5252
893,136.1516,35.3068,4.4277,4.4717,1.855,2.5255
894,136.304,32.3127,4.7673,4.8586,1.8699,2.5359
895,136.4564,29.9163,4.8455,4.9153,1.868,2.6209
896,136.6088,27.5332,5.1335,5.2975,1.8837,2.6717
897,136.7612,27.6286,6.4594,6.76,1.8911,2.6523
898,136.9136,27.8362,6.7899,6.9364,1.9316,2.6513
899,137.066,30.4579,6.6766,6.8691,1.96,2.6417
900,137.2184,32.7776,6.6559,6.7753,1.9685,2.5936
901,137.3708,35.0711,5.5646,5.4992,1.9413,2.5913
902,137.5232,33.6538,4.5022,4.4063,1.9236,2.5635
903,137.6756,32.3412,4.4144,4.2929,1.8863,2.4936
904,137.828,30.9031,4.2875,4.2586,1.8545,2.481
905,137.9804,30.5152,4.1557,4.048,1.8296,2.4836
906,138.1328,28.4619,4.0995,3.994,1.799,2.4901
907,138.2852,28.1755,4.0957,4.0221,1.802,2.5478
908,138.4376,27.85,4.1013,4.0526,1.82,2.5359
909,138.59,29.2627,5.1737,5.2123,1.8273,2.5434
910,138.7424,29.0072,6.0199,6.0464,1.8223,2.5429
