,depth,gr,d_res,s_res,den
0,0.0241,6.7896,0.2897,0.2881,1.0222
1,0.17650000000000002,6.7896,0.2911,0.2844,1.0222
2,0.3289,9.9071,0.3029,0.3013,1.0232
3,0.48130000000000006,17.2967,0.4338,0.4972,1.0306
4,0.6337,25.9424,0.5784,0.4701,1.0591
5,0.7861,33.3568,0.4693,0.6122,1.1091
6,0.9385000000000001,37.5217,0.7673,0.6988,1.2156
7,1.0909,37.5848,0.6834,0.8198,1.3215
8,1.2433,38.7282,0.8777,0.915,1.4059
9,1.3957000000000002,40.2384,0.9123,1.0044,1.4045
10,1.5481,42.2337,1.1937,0.633,1.412
11,1.7005000000000001,43.3663,1.0286,1.0742,1.4389
12,1.8529000000000002,43.9181,1.1174,1.0263,1.4802
13,2.0053,46.8263,1.1474,0.7785,1.4979
14,2.1576999999999997,48.9891,1.1398,1.0443,1.5014
15,2.3101,51.2056,1.0365,0.9484,1.486
16,2.4625,50.3406,1.0021,0.9519,1.4829
17,2.6149,49.1696,0.9908,0.877,1.5067
18,2.7673,46.8906,1.1137,1.1209,1.4222
19,2.9196999999999997,46.4573,1.7236,3.4223,1.3706
20,3.0721,47.5622,3.3414,1.6911,1.3112
21,3.2245,49.3902,3.759,4.1573,1.3396
22,3.3769,48.3708,5.2957,4.2101,1.3679
23,3.5293,47.1442,5.5287,4.0904,1.3799
24,3.6817,45.5135,4.7643,4.7666,1.3607
25,3.8341,49.0532,5.0271,3.7947,1.3582
26,3.9865,47.9181,5.6321,5.7149,1.3275
27,4.1389,47.3879,4.7603,5.0181,1.3234
28,4.2913,42.3484,4.6051,5.1519,1.2999
29,4.4437,40.4848,5.6125,4.3338,1.2921
30,4.5961,38.923,5.454,4.3481,1.2958
31,4.7485,39.8675,5.6216,3.9549,1.2929
32,4.9009,40.9946,5.7772,4.9685,1.3025
33,5.0533,42.66,5.1956,3.5425,1.3334
34,5.2057,45.3495,3.2902,3.9613,1.3706
35,5.3581,44.5716,5.0779,2.8253,1.4023
36,5.5105,40.3828,6.3685,2.5843,1.3753
37,5.6629000000000005,35.772,8.4156,4.6154,1.3129
38,5.8153,37.2701,10.025,6.1119,1.276
39,5.9677,38.187,6.3505,8.5105,1.2581
40,6.1201,37.3197,10.9121,9.8557,1.246
41,6.2725,34.4218,10.6301,14.5925,1.204
42,6.4249,35.1081,17.2589,12.2868,1.1929
43,6.5773,38.6148,15.0869,16.4282,1.243
44,6.7297,41.2684,7.8034,19.1186,1.3425
45,6.8821,43.62,7.2336,6.7818,1.4168
46,7.0345,45.3001,7.8508,5.1269,1.4296
47,7.1869000000000005,46.7713,4.5556,4.2704,1.4077
48,7.339300000000001,45.6306,4.1566,3.6187,1.3999
49,7.4917,45.044,4.1962,3.2005,1.3986
50,7.6441,44.7548,3.5615,3.327,1.4107
51,7.7965,44.6136,4.454,3.0112,1.4163
52,7.9489,45.1909,3.9351,4.1823,1.4266
53,8.101300000000002,44.6218,4.4196,3.2929,1.3976
54,8.2537,45.5247,4.1852,3.6792,1.3885
55,8.4061,45.0546,4.5058,4.063,1.3783
56,8.5585,46.209,4.0165,3.6356,1.4164
57,8.7109,45.7295,4.0752,3.3099,1.4489
58,8.8633,46.0273,3.7849,3.1756,1.4888
59,9.0157,45.546,3.5921,2.4533,1.5122
60,9.1681,47.4441,2.914,2.1724,1.5292
61,9.320500000000001,44.0998,2.783,2.2497,1.5313
62,9.472900000000001,42.4537,3.0424,2.2755,1.5267
63,9.625300000000001,36.4203,3.4522,2.8102,1.5105
64,9.777700000000001,33.0712,4.5758,3.8749,1.4044
65,9.930100000000001,26.9636,8.3275,10.0094,1.2432
66,10.082500000000001,24.7166,14.8092,392.3383,1.1012
67,10.234900000000001,26.1635,14.5633,13.7849,1.0704
68,10.387300000000002,33.3095,10.9731,7.839,1.1476
69,10.539700000000002,39.0505,5.7933,5.8797,1.3083
70,10.692100000000002,42.1118,4.7224,4.2657,1.4398
71,10.844500000000002,41.9812,4.4928,4.622,1.4761
72,10.996900000000002,43.2726,4.4573,4.4777,1.475
73,11.149300000000002,44.47,4.944,4.0146,1.4625
74,11.301700000000002,44.1019,4.617,4.4489,1.4611
75,11.4541,42.9681,4.7023,3.7831,1.4607
76,11.6065,42.4706,4.8361,4.3613,1.4717
77,11.7589,43.208,4.7884,4.4705,1.4874
78,11.9113,46.5117,4.5069,4.131,1.4904
79,12.0637,47.3333,3.9306,3.6378,1.4951
80,12.2161,48.8087,3.9022,3.135,1.4945
81,12.368500000000001,47.9181,3.8369,2.8251,1.4947
82,12.520900000000001,49.0485,3.736,2.7531,1.4753
83,12.673300000000001,46.9244,4.1261,2.9347,1.4675
84,12.825700000000001,47.2223,4.5618,3.1022,1.481
85,12.978100000000001,46.1703,5.2383,4.2129,1.505
86,13.130500000000001,47.4602,5.5241,4.4811,1.5118
87,13.282900000000001,46.4775,5.3174,4.7145,1.4936
88,13.435300000000002,47.3263,6.2709,6.441,1.4915
89,13.587700000000002,48.1962,6.8566,5.8612,1.4881
90,13.740100000000002,48.7681,6.4535,6.0719,1.4889
91,13.892500000000002,48.0728,7.1712,6.2493,1.4909
92,14.044900000000002,48.2071,6.4311,6.1912,1.4978
93,14.197300000000002,48.9954,6.0354,5.3586,1.5149
94,14.349700000000002,48.6038,6.5916,4.1405,1.5269
95,14.502100000000002,47.1739,8.879,6.4571,1.5434
96,14.654500000000002,44.2493,6.798,5.4315,1.5066
97,14.8069,42.1999,6.8926,8.5392,1.4842
98,14.9593,37.2269,13.2059,9.6677,1.461
99,15.1117,33.6654,15.5089,14.8463,1.3712
100,15.264100000000001,31.3252,17.2943,31.1469,1.2036
101,15.416500000000001,35.5303,39.3267,15.65,1.0975
102,15.568900000000001,37.9323,21.6994,14.1415,1.0816
103,15.721300000000001,42.3679,25.102,31.3663,1.2069
104,15.873700000000001,41.0486,14.564,16.5956,1.3542
105,16.026100000000003,42.7082,22.1164,11.384,1.5141
106,16.178500000000003,41.3957,18.5608,12.6493,1.523
107,16.3309,43.5125,32.3745,25.8516,1.4605
108,16.4833,43.9429,19.2117,28.2509,1.4567
109,16.6357,45.1825,24.9637,24.8917,1.4608
110,16.7881,45.3912,21.4044,17.9021,1.5069
111,16.9405,48.1187,27.5846,20.7386,1.5106
112,17.0929,47.873,24.7367,20.4731,1.4958
113,17.2453,48.0068,26.9338,22.0043,1.4231
114,17.3977,44.6411,38.5699,27.2574,1.3591
115,17.5501,45.1721,37.7765,34.9924,1.3333
116,17.7025,44.8526,31.3789,23.535,1.3976
117,17.8549,47.072,36.9275,17.7954,1.458
118,18.0073,47.5124,50.9184,33.0299,1.4921
119,18.1597,47.5841,27.7643,38.1645,1.5009
120,18.3121,48.003,51.2854,28.1531,1.5197
121,18.4645,49.0508,22.649,21.8425,1.5409
122,18.6169,48.0656,40.1438,44.1736,1.5361
123,18.7693,45.9665,28.5345,29.8836,1.5253
124,18.9217,42.5613,23.2943,19.5906,1.5286
125,19.0741,43.5987,27.9537,17.9241,1.5327
126,19.2265,43.8217,23.817,15.9621,1.5258
127,19.3789,45.5951,24.7417,14.165,1.4997
128,19.5313,47.0211,15.9234,10.2695,1.4446
129,19.6837,48.3716,17.416,10.5191,1.4055
130,19.836100000000002,49.4124,19.7092,11.3842,1.4043
131,19.988500000000002,47.8679,21.6791,14.4287,1.452
132,20.140900000000002,47.45,44.7167,36.3449,1.5001
133,20.293300000000002,46.9664,53.261,74.9372,1.5024
134,20.445700000000002,48.942,66.4831,56.6723,1.5046
135,20.598100000000002,48.5408,85.4375,46.0484,1.5027
136,20.750500000000002,48.9443,100.0467,79.9927,1.5307
137,20.902900000000002,49.5757,81.7578,98.2707,1.5411
138,21.055300000000003,52.1318,90.4439,88.1896,1.5579
139,21.207700000000003,53.7907,79.0584,62.6056,1.5672
140,21.360100000000003,53.2151,66.0998,50.6491,1.5712
141,21.512500000000003,52.3251,81.4089,55.1327,1.568
142,21.664900000000003,51.5241,61.5312,47.666,1.5533
143,21.817300000000003,50.5861,54.0969,49.736,1.5319
144,21.969700000000003,53.0247,75.7613,76.4784,1.5135
145,22.122100000000003,52.2733,60.7485,62.7446,1.5172
146,22.274500000000003,53.9748,59.247,64.2116,1.5393
147,22.426900000000003,50.4093,59.7608,81.8301,1.5476
148,22.579300000000003,51.5304,73.9916,81.9042,1.555
149,22.731700000000004,50.8633,61.7533,71.9722,1.5552
