,depth,gr,d_res,s_res,den,vp
34,61.265600000000006,15.2965,1.0671,1.1258,1.7227,1.55227
35,61.418000000000006,15.2965,1.0876,1.1537,1.7065,1.55143
36,61.57040000000001,15.946,1.1008,1.1802,1.678,1.55744
37,61.72280000000001,16.0822,1.1234,1.1972,1.6632,1.62949
82,68.58080000000001,17.4988,1.1346,1.2028,1.7678,1.74911
83,68.73320000000001,16.5223,1.1203,1.2278,1.7703,1.58601
84,68.88560000000001,15.2555,1.1001,1.249,1.7684,1.57683
85,69.03800000000001,16.1081,1.0882,1.2285,1.7707,1.63946
86,69.19040000000001,15.8069,1.0908,1.1712,1.7691,1.65747
87,69.34280000000001,14.1209,1.1054,1.1148,1.7712,1.57959
88,69.49520000000001,12.76,1.1005,1.0845,1.7629,1.55186
89,69.64760000000001,13.2589,1.0991,1.0823,1.7547,1.56191
90,69.80000000000001,15.977,1.1126,1.0999,1.742,1.54977
91,69.95240000000001,18.2465,1.1415,1.1312,1.751,1.52527
92,70.10480000000001,19.0424,1.144,1.174,1.7531,1.52754
93,70.25720000000001,19.0283,1.119,1.2258,1.7551,1.50898
94,70.40960000000001,20.6098,1.1321,1.2798,1.7424,1.56312
95,70.56200000000001,24.515,1.1942,1.3204,1.7425,1.52389
96,70.71440000000001,33.0996,1.1714,1.3286,1.7549,1.51154
97,70.86680000000001,42.4629,1.2002,1.3012,1.7659,1.51908
98,71.01920000000001,50.9645,1.2076,1.2593,1.7656,1.57054
99,71.17160000000001,54.5364,1.1712,1.2263,1.759,1.56269
100,71.32400000000001,55.5015,1.1531,1.2129,1.7448,1.52099
101,71.47640000000001,56.7025,1.1551,1.2202,1.7216,1.52257
102,71.62880000000001,57.661,1.1582,1.2383,1.7095,1.52021
103,71.78120000000001,60.4536,1.1577,1.2478,1.7423,1.5503
104,71.93360000000001,61.1247,1.1641,1.2416,1.7329,1.54886
105,72.08600000000001,57.2062,1.1832,1.2322,1.7198,1.52072
106,72.23840000000001,60.5456,1.1879,1.2327,1.6802,1.52452
107,72.39080000000001,60.2089,1.2176,1.2477,1.6744,1.53639
108,72.54320000000001,57.0265,1.2469,1.2754,1.6648,1.55183
109,72.69560000000001,55.9965,1.2377,1.3054,1.6726,1.54767
110,72.84800000000001,57.2377,1.2557,1.3269,1.6858,1.53115
111,73.00040000000001,57.5099,1.303,1.3448,1.708,1.54477
112,73.15280000000001,57.255,1.3119,1.3715,1.7127,1.55458
113,73.30520000000001,58.0231,1.3461,1.4107,1.7248,1.54943
114,73.45760000000001,59.7818,1.426,1.4574,1.7417,1.5447
115,73.61000000000001,60.2149,1.4386,1.5029,1.7406,1.5358
116,73.76240000000001,60.665,1.4527,1.5357,1.7385,1.55522
117,73.91480000000001,60.6851,1.535,1.5501,1.7357,1.61931
118,74.06720000000001,60.2693,1.5633,1.5533,1.733,1.61811
119,74.21960000000001,57.5497,1.5398,1.5571,1.7255,1.62147
120,74.37200000000001,58.8639,1.5763,1.5642,1.7151,1.61602
121,74.52440000000001,60.1709,1.6252,1.5716,1.7048,1.61726
122,74.67680000000001,61.0129,1.6766,1.584,1.7051,1.61238
123,74.82920000000001,61.4209,1.6872,1.6155,1.7265,1.59863
