,depth,gr,d_res,s_res,den,vp
46,79.25290000000001,17.3375,0.6808,0.422,1.3537,1.51798
47,79.40530000000001,17.6232,0.6808,0.422,1.4075,1.51732
48,79.55770000000001,16.8755,0.813,0.4902,1.438,1.51799
49,79.71010000000001,18.084,0.8674,0.6351,1.4537,1.51679
50,79.86250000000001,20.434,0.9191,0.8518,1.4807,1.52434
51,80.01490000000001,25.3934,0.9493,1.0218,1.5341,1.53025
52,80.16730000000001,28.4346,0.9448,0.9976,1.5575,1.5331
53,80.31970000000001,31.4975,0.9039,0.8809,1.5245,1.53446
54,80.47210000000001,32.5614,0.8586,0.8091,1.479,1.53144
55,80.62450000000001,34.3359,0.8338,0.8127,1.4168,1.53365
56,80.77690000000001,34.9193,0.8324,0.8859,1.3435,1.52919
57,80.92930000000001,34.5109,0.8505,0.9946,1.284,1.52857
58,81.08170000000001,33.0648,0.8817,1.0696,1.2611,1.52243
59,81.23410000000001,32.8398,0.9184,1.0683,1.2702,1.51268
60,81.38650000000001,33.3183,0.95,1.0172,1.2858,1.51139
61,81.53890000000001,33.5669,0.9646,0.9599,1.3076,1.51307
62,81.69130000000001,33.5221,0.9648,0.9246,1.3401,1.51347
63,81.84370000000001,32.0342,0.9519,0.9211,1.3831,1.52526
64,81.99610000000001,31.4902,0.9284,0.9424,1.4067,1.51988
65,82.14850000000001,30.5814,0.9097,0.9747,1.4011,1.52087
66,82.30090000000001,30.5112,0.9003,1.0051,1.3791,1.51701
67,82.45330000000001,30.2575,0.8993,1.0204,1.3816,1.51647
68,82.60570000000001,29.7593,0.902,1.016,1.4216,1.51728
69,82.75810000000001,29.7417,0.9094,1.0019,1.4818,1.51643
70,82.91050000000001,30.3355,0.9189,0.9899,1.5308,1.51593
71,83.06290000000001,30.2043,0.9265,0.9849,1.5356,1.5074
72,83.21530000000001,31.3127,0.9312,0.9869,1.4974,1.52143
73,83.36770000000001,32.8391,0.9368,0.9924,1.4315,1.52379
74,83.52010000000001,36.7104,0.941,0.9962,1.3565,1.52211
75,83.67250000000001,41.0098,0.9387,0.9963,1.3015,1.51683
76,83.82490000000001,46.5202,0.9383,0.9944,1.2704,1.51359
77,83.97730000000001,48.7081,0.9418,0.9923,1.2655,1.51681
78,84.12970000000001,49.0589,0.9468,0.9914,1.2726,1.51691
79,84.28210000000001,49.7961,0.9514,0.9927,1.2792,1.51641
80,84.43450000000001,48.8394,0.9535,0.9959,1.2859,1.53164
81,84.58690000000001,45.6539,0.9568,0.9996,1.3021,1.51764
82,84.73930000000001,46.3308,0.9627,1.0033,1.3492,1.53255
83,84.89170000000001,46.3909,0.971,1.0076,1.446,1.52926
84,85.04410000000001,48.5214,0.9773,1.014,1.5174,1.51141
85,85.19650000000001,47.5957,0.9797,1.0228,1.5635,1.50939
86,85.34890000000001,46.9582,0.9853,1.0315,1.5604,1.50935
87,85.50130000000001,48.4599,0.9888,1.0364,1.5958,1.50943
88,85.65370000000001,50.3441,0.9895,1.0347,1.649,1.5097
89,85.80610000000001,49.0239,0.9895,1.0272,1.6451,1.50544
90,85.95850000000002,49.3023,0.9855,1.0165,1.645,1.50622
91,86.11090000000002,48.6362,0.9822,1.0059,1.645,1.50481
92,86.26330000000002,50.8598,0.9799,0.9968,1.639,1.50614
93,86.41570000000002,48.0813,0.9743,0.9901,1.6404,1.50576
94,86.56810000000002,48.1912,0.9723,0.9863,1.6404,1.50483
95,86.72050000000002,48.4876,0.9681,0.984,1.6413,1.50905
96,86.87290000000002,50.8695,0.9485,0.9809,1.6423,1.51161
97,87.02530000000002,47.581,0.939,0.9761,1.644,1.51042
98,87.17770000000002,45.5635,0.9419,0.9703,1.6404,1.51081
99,87.33010000000002,45.2035,0.9428,0.9653,1.6333,1.51098
100,87.48250000000002,48.471,0.9331,0.9623,1.6144,1.50915
101,87.63490000000002,49.2194,0.9295,0.962,1.6221,1.50971
102,87.78730000000002,50.9944,0.93,0.9643,1.6519,1.50998
