,depth,gr,d_res,s_res,den,vp
210,278.0539,3.1986,80.7364,74.4202,2.9215,5.064
211,278.20630000000006,3.5693,80.7364,74.4202,2.9012,5.1896
212,278.3587,3.4033,87.5296,81.3027,2.8947,5.4331
213,278.51110000000006,3.1947,73.5426,72.4369,2.8973,5.6952
214,278.6635,3.333,83.2391,79.0531,2.9132,5.6199
215,278.81590000000006,3.4819,82.4737,75.0763,2.9191,5.5119
216,278.9683,3.471,79.222,71.3277,2.9162,5.6305
217,279.12070000000006,2.9654,88.6467,81.9372,2.9181,5.6142
218,279.2731,2.7849,90.662,84.3126,2.8975,5.3617
219,279.42550000000006,3.1623,83.0493,75.2158,2.8837,5.4033
220,279.5779,3.2548,73.8661,66.8063,2.8613,5.6959
221,279.73030000000006,3.4524,71.9386,65.081,2.8558,5.7861
222,279.8827,3.2046,77.5737,69.5108,2.8616,5.6209
223,280.03510000000006,3.3936,82.9989,73.5286,2.8799,5.5566
224,280.1875,3.472,76.937,69.0196,2.8895,5.677
225,280.33990000000006,3.4973,60.6777,56.9844,2.8807,5.7563
226,280.4923,3.8314,46.2182,46.5851,2.8611,5.569
227,280.64470000000006,3.7359,45.857,45.8781,2.8582,5.3601
228,280.7971,3.8953,47.4381,46.3645,2.87,5.2967
229,280.94950000000006,4.1689,43.7562,43.7706,2.879,5.2684
230,281.1019,4.6409,42.8562,43.3796,2.8758,5.2661
231,281.25430000000006,4.619,55.0592,53.5261,2.867,5.3204
232,281.4067,4.1078,62.2903,59.9694,2.8655,5.3855
233,281.55910000000006,3.6761,55.7629,54.0524,2.8779,5.3572
234,281.7115,3.894,52.2083,50.391,2.8842,5.13
235,281.86390000000006,3.7796,53.9438,52.4137,2.8824,5.0758
236,282.0163,4.247,60.0548,56.5661,2.8756,5.3587
237,282.16870000000006,3.9181,64.5799,58.9733,2.8817,5.5451
238,282.3211,4.0968,65.2456,59.2302,2.8949,5.4174
239,282.47350000000006,3.842,65.4695,59.3343,2.8951,5.2564
240,282.6259,4.1021,65.5756,59.3804,2.8874,5.2525
241,282.77830000000006,4.4039,63.1354,58.3093,2.8609,5.3665
242,282.9307,4.9376,57.4091,55.3931,2.8408,5.3415
243,283.08310000000006,4.9869,59.8937,57.5639,2.844,5.0803
244,283.2355,4.6911,61.2411,57.8901,2.8654,4.968
245,283.38790000000006,4.0889,57.4727,54.6698,2.8902,5.1394
246,283.5403,3.8813,57.5286,54.697,2.9048,5.356
247,283.69270000000006,4.1806,57.5232,54.7,2.9132,5.442
248,283.8451,4.1669,57.5376,54.7112,2.9043,5.4488
249,283.99750000000006,3.9439,57.998,54.9334,2.8834,5.4545
250,284.1499,3.3595,58.573,55.8437,2.8683,5.4326
251,284.30230000000006,3.7531,59.0363,56.95,2.87,5.353
252,284.4547,4.1298,59.4507,57.3431,2.8809,5.3074
253,284.60710000000006,4.2811,59.0403,57.0694,2.8796,5.3313
254,284.7595,4.2762,58.6498,56.6654,2.8817,5.3415
255,284.91190000000006,4.5947,58.6511,56.6098,2.8927,5.3177
256,285.0643,4.7303,60.9195,58.3266,2.8953,5.3296
257,285.21670000000006,4.1841,69.1129,65.3801,2.8933,5.3091
258,285.3691,4.0046,78.0316,73.544,2.8762,5.2086
259,285.52150000000006,4.3632,80.3023,75.4528,2.8806,5.161
260,285.6739,4.8825,78.5689,74.1628,2.896,5.26
261,285.82630000000006,4.7351,76.1931,72.274,2.9102,5.3728
262,285.9787,4.3782,79.8934,75.3156,2.9247,5.3887
263,286.13110000000006,4.0921,84.4263,79.3866,2.9207,5.3484
264,286.2835,3.8894,79.2987,75.6472,2.9179,5.3742
265,286.43590000000006,3.5291,78.1763,74.7718,2.9237,5.4795
266,286.5883,3.544,79.3303,75.5473,2.925,5.5445
267,286.74070000000006,3.5919,82.3053,77.9432,2.9297,5.5343
268,286.8931,3.715,87.538,82.8616,2.9242,5.5439
269,287.04550000000006,3.383,93.5308,88.1021,2.9281,5.5693
270,287.1979,3.3666,90.7682,85.5362,2.9319,5.5503
271,287.35030000000006,3.2704,90.2256,84.7974,2.9242,5.5284
272,287.5027,3.737,97.6778,91.3035,2.9045,5.5977
273,287.65510000000006,3.7326,103.9387,96.8354,2.8781,5.7757
274,287.8075,3.9479,100.284,93.8055,2.8715,5.9427
275,287.95990000000006,4.2141,100.283,93.8426,2.8941,5.948
276,288.1123,4.6812,100.1251,93.5388,2.9221,5.8257
277,288.26470000000006,5.0762,97.989,91.6787,2.925,5.7112
278,288.4171,5.1263,95.7525,89.8782,2.9132,5.6056
279,288.56950000000006,4.5668,103.3037,94.5828,2.9111,5.511
280,288.7219,4.0384,98.8104,92.0387,2.9147,5.5155
281,288.87430000000006,3.7105,90.9631,86.792,2.9063,5.6091
282,289.0267,3.9869,91.3421,85.7294,2.8811,5.6938
283,289.17910000000006,4.5847,71.5382,71.7092,2.8487,5.7404
284,289.3315,4.4711,80.1959,77.5682,2.8665,5.7772
285,289.48390000000006,4.4892,90.6332,84.8208,2.8902,5.7929
286,289.6363,4.2241,71.7524,71.7303,2.9161,5.7275
287,289.78870000000006,4.5739,82.2251,80.982,2.8954,5.6098
288,289.9411,4.3639,80.8192,78.0864,2.835,5.5438
289,290.09350000000006,4.1432,92.0857,87.3166,2.8281,5.5001
290,290.2459,3.519,83.8027,81.0935,2.8401,5.29
291,290.39830000000006,3.7098,108.9601,102.517,2.8866,4.9444
292,290.5507,4.2355,95.1436,91.8292,2.904,4.8259
293,290.70310000000006,4.6078,74.2253,71.9069,2.9055,5.0482
294,290.8555,4.5959,90.4899,86.1889,2.9081,5.3309
295,291.00790000000006,4.473,115.345,108.8694,2.9186,5.5654
296,291.1603,4.697,125.0863,114.6337,2.9158,5.7151
297,291.31270000000006,4.8728,102.277,97.8511,2.9007,5.7399
298,291.4651,4.4024,113.3098,104.7947,2.8825,5.6899
299,291.61750000000006,4.1966,128.7849,112.4231,2.8846,5.5277
300,291.7699,4.4249,136.402,116.3593,2.909,5.3142
301,291.92230000000006,4.9291,136.4609,116.3204,2.8993,5.2741
302,292.0747,4.959,136.5892,116.2915,2.8857,5.3558
303,292.22710000000006,4.6486,136.6655,116.2796,2.8768,5.3913
304,292.3795,4.6865,114.9207,105.9391,2.885,5.3802
