,depth,gr,d_res,s_res,den
626,95.4649,7.6439,0.6519,0.5742,1.1599
627,95.6173,6.5758,0.6519,0.5742,1.1555
628,95.7697,5.7188,0.667,0.6986,1.1533
629,95.9221,8.6706,0.6737,0.7854,1.1551
630,96.0745,12.13,0.6633,0.788,1.1568
631,96.2269,14.2292,0.6506,0.7379,1.1543
632,96.3793,12.3859,0.6345,0.693,1.1528
633,96.5317,9.1317,0.6155,0.6835,1.1551
634,96.6841,8.2639,0.6142,0.713,1.1637
635,96.8365,10.7902,0.6353,0.7639,1.1902
636,96.9889,14.8481,0.6668,0.8071,1.2091
637,97.1413,18.5449,0.6809,0.8245,1.2098
638,97.2937,20.6226,0.7153,0.8196,1.1981
639,97.4461,21.1294,0.5549,0.8039,1.2184
640,97.5985,20.359,0.7112,0.7881,1.2681
641,97.7509,20.0257,0.719,0.7797,1.3329
642,97.9033,21.2265,0.7539,0.7822,1.3658
643,98.0557,22.5856,0.7332,0.7951,1.3691
644,98.2081,23.2367,0.7433,0.8109,1.3768
645,98.3605,23.1283,0.7255,0.8172,1.3493
646,98.5129,22.6771,0.7377,0.8104,1.3328
647,98.6653,24.0105,0.7574,0.7991,1.3018
648,98.8177,24.8907,0.772,0.7906,1.2707
649,98.9701,27.0793,0.7487,0.7855,1.2137
650,99.1225,26.8733,0.7597,0.7834,1.1819
651,99.2749,27.0776,0.7479,0.7864,1.1719
652,99.4273,26.3439,0.75,0.797,1.1647
653,99.5797,26.6109,0.7156,0.8125,1.1726
654,99.7321,25.9684,0.713,0.8192,1.1948
655,99.8845,24.3577,0.712,0.8045,1.2731
656,100.0369,23.4299,0.7016,0.7757,1.3207
657,100.1893,25.5508,0.6992,0.7518,1.294
658,100.3417,27.9835,0.7039,0.7438,1.2033
659,100.4941,29.6656,0.6959,0.7508,1.1493
660,100.6465,29.4297,0.6944,0.764,1.1443
661,100.7989,29.0602,0.6911,0.7732,1.1338
662,100.9513,27.8086,0.6915,0.7751,1.1326
663,101.1037,26.9185,0.6932,0.7728,1.1277
664,101.2561,26.2683,0.691,0.7691,1.1313
665,101.4085,27.5267,0.6921,0.7653,1.1311
666,101.5609,27.7789,0.694,0.7627,1.1333
667,101.7133,28.3179,0.694,0.7612,1.1341
668,101.8657,27.6799,0.6959,0.7607,1.1353
669,102.0181,29.6233,0.6933,0.7627,1.1559
670,102.1705,32.8599,0.6912,0.7682,1.1894
671,102.3229,37.6131,0.695,0.7766,1.2053
672,102.4753,40.0155,0.6999,0.7852,1.1918
673,102.6277,41.9872,0.6974,0.7896,1.165
674,102.7801,43.2904,0.7054,0.7888,1.161
675,102.9325,44.8988,0.7019,0.7889,1.1619
676,103.0849,44.1165,0.7058,0.7966,1.1577
677,103.2373,42.5803,0.726,0.8096,1.1618
678,103.3897,40.3417,0.7243,0.8211,1.1521
679,103.5421,40.9307,0.7551,0.8276,1.1641
680,103.6945,41.2844,0.7889,0.8308,1.1967
681,103.8469,43.1195,0.785,0.836,1.2515
682,103.9993,43.6415,0.793,0.8462,1.2636
683,104.1517,43.7865,0.7959,0.8588,1.229
684,104.3041,41.7019,0.8038,0.8698,1.1959
685,104.4565,41.9008,0.7787,0.88,1.1872
686,104.6089,41.8051,0.799,0.8857,1.2241
687,104.7613,43.5205,0.8153,0.8771,1.2782
688,104.9137,44.1151,0.808,0.8545,1.3359
689,105.0661,43.7961,0.81,0.8316,1.3579
690,105.2185,42.8188,0.8129,0.8199,1.3713
691,105.3709,42.7902,0.8058,0.8218,1.3827
692,105.5233,43.6075,0.7846,0.8307,1.3885
693,105.6757,44.6171,0.7799,0.8346,1.4376
694,105.8281,43.0519,0.7907,0.8277,1.5187
695,105.9805,40.8007,0.7968,0.816,1.5991
696,106.1329,39.1549,0.783,0.807,1.642
697,106.2853,39.5315,0.7566,0.8025,1.6294
698,106.4377,41.2355,0.7625,0.8028,1.6446
699,106.5901,43.8924,0.7848,0.8069,1.6667
700,106.7425,44.8358,0.7648,0.8104,1.6723
701,106.8949,45.2988,0.7655,0.8104,1.6694
702,107.0473,44.9314,0.7867,0.8098,1.6842
703,107.1997,43.2139,0.7774,0.8129,1.7156
704,107.35210000000001,43.1989,0.7574,0.8204,1.7656
705,107.50450000000001,42.9793,0.7665,0.8303,1.8133
706,107.65690000000001,44.2976,0.7951,0.8389,1.8252
707,107.80930000000001,45.9109,0.8009,0.8434,1.8138
708,107.96170000000001,47.8614,0.7978,0.8462,1.7932
709,108.11410000000001,49.0207,0.8022,0.8519,1.7758
710,108.26650000000001,48.5683,0.8016,0.8601,1.7851
711,108.41890000000001,46.816,0.7963,0.8665,1.8009
712,108.57130000000001,45.3874,0.7986,0.869,1.7987
713,108.72370000000001,45.0117,0.7983,0.8686,1.7866
714,108.87610000000001,46.048,0.801,0.8669,1.6114
715,109.02850000000001,48.3372,0.8058,0.8659,1.3128
716,109.18090000000001,50.292,0.7913,0.8659,1.157
717,109.33330000000001,51.1685,0.8075,0.8619,1.1358
718,109.48570000000001,50.3679,0.8095,0.8507,1.2996
719,109.63810000000001,51.5037,0.8077,0.8336,1.5397
720,109.79050000000001,52.3154,0.7957,0.8117,1.5157
721,109.94290000000001,52.7066,0.7453,0.7848,1.2728
722,110.09530000000001,51.5819,0.7367,0.7551,1.1148
723,110.24770000000001,49.4613,0.7823,0.7283,1.1469
724,110.40010000000001,50.2142,0.782,0.7101,1.298
725,110.55250000000001,50.6097,0.7402,0.704,1.4908
726,110.70490000000001,51.4113,0.6859,0.7084,1.4101
727,110.85730000000001,46.8123,0.6976,0.7172,1.2231
728,111.00970000000001,42.1155,0.6782,0.7242,1.0895
729,111.16210000000001,38.7416,0.6881,0.7268,1.2038
730,111.31450000000001,38.6221,0.6789,0.7254,1.3829
731,111.46690000000001,39.9379,0.6714,0.7236,1.6068
732,111.61930000000001,39.9908,0.6849,0.7264,1.452
733,111.77170000000001,40.8436,0.6791,0.7359,1.3899
734,111.92410000000001,38.9646,0.674,0.7496,1.37
735,112.07650000000001,40.8605,0.6962,0.7624,1.4503
736,112.22890000000001,42.5871,0.7216,0.7695,1.4529
737,112.38130000000001,45.7924,0.7185,0.7699,1.4297
738,112.53370000000001,46.4833,0.7006,0.7669,1.4749
739,112.68610000000001,48.1061,0.7229,0.7647,1.5078
740,112.83850000000001,50.3747,0.7234,0.765,1.6296
741,112.99090000000001,51.0348,0.7048,0.7688,1.6965
742,113.14330000000001,49.5098,0.7251,0.776,1.4434
743,113.29570000000001,47.3596,0.7253,0.7826,1.2642
744,113.44810000000001,44.448,0.7215,0.7833,1.2067
745,113.60050000000001,45.3871,0.7321,0.7743,1.2793
746,113.75290000000001,47.1781,0.7022,0.7534,1.408
747,113.90530000000001,50.2965,0.6867,0.7252,1.5229
748,114.05770000000001,50.8669,0.696,0.7029,1.5406
749,114.21010000000001,51.7148,0.6947,0.6988,1.341
750,114.36250000000001,50.7633,0.6976,0.7144,1.1859
751,114.51490000000001,43.5728,0.6894,0.7385,1.1492
752,114.66730000000001,35.706,0.6779,0.7525,1.2502
753,114.81970000000001,29.7058,0.6533,0.7445,1.3634
754,114.97210000000001,30.6106,0.6493,0.7217,1.4065
755,115.12450000000001,31.0477,0.6475,0.7009,1.3937
756,115.27690000000001,32.6953,0.6518,0.69,1.4091
757,115.42930000000001,34.2855,0.6668,0.6871,1.4096
758,115.58170000000001,35.5486,0.6523,0.6897,1.3621
759,115.73410000000001,36.6751,0.6628,0.6961,1.3071
760,115.88650000000001,37.4603,0.6643,0.7032,1.3206
761,116.03890000000001,38.6004,0.6578,0.7076,1.3489
762,116.19130000000001,40.183,0.6574,0.7079,1.4469
763,116.34370000000001,40.3817,0.6664,0.7048,1.4905
764,116.49610000000001,41.0327,0.6858,0.7035,1.5884
765,116.64850000000001,40.8036,0.6942,0.7116,1.5919
766,116.80090000000001,40.7866,0.6872,0.7302,1.5174
767,116.95330000000001,38.8723,0.6932,0.7495,1.4613
768,117.10570000000001,37.2691,0.6996,0.7572,1.4904
769,117.2581,36.3261,0.6964,0.7529,1.5828
770,117.4105,36.9469,0.7127,0.7509,1.6707
771,117.5629,37.2205,0.7577,0.7673,1.6359
772,117.7153,36.9164,0.7639,0.8066,1.6053
773,117.8677,38.2153,0.7671,0.8549,1.6212
774,118.0201,38.7379,0.756,0.8876,1.7318
775,118.1725,40.8799,0.7477,0.8927,1.7993
776,118.3249,41.1846,0.7678,0.8775,1.7881
777,118.4773,41.0961,0.7719,0.8524,1.7799
778,118.6297,40.0833,0.7713,0.824,1.7987
779,118.7821,39.5208,0.7491,0.7994,1.7667
780,118.9345,39.2088,0.7646,0.7866,1.7377
781,119.0869,39.7287,0.7718,0.7896,1.7029
782,119.2393,40.3162,0.77,0.8045,1.6969
783,119.3917,43.5564,0.7694,0.8184,1.7169
784,119.5441,44.8308,0.7697,0.8206,1.7135
785,119.6965,45.0478,0.7707,0.8135,1.733
786,119.8489,43.8768,0.7574,0.8056,1.7597
787,120.0013,42.7321,0.7294,0.7977,1.7294
788,120.1537,41.1602,0.7245,0.7832,1.7155
789,120.3061,38.4663,0.7236,0.7619,1.7563
790,120.4585,38.4524,0.7355,0.744,1.76
791,120.6109,38.9398,0.7503,0.7398,1.7051
792,120.7633,40.3908,0.7017,0.7464,1.6244
793,120.9157,40.7124,0.6777,0.7489,1.6062
794,121.0681,39.3403,0.6738,0.7339,1.607
795,121.2205,39.0141,0.677,0.7056,1.6347
796,121.3729,39.7408,0.7283,0.6815,1.6594
797,121.5253,39.8908,0.6816,0.6743,1.6918
798,121.6777,39.4709,0.6695,0.6844,1.6859
799,121.8301,37.7879,0.6652,0.7024,1.6724
800,121.9825,39.2802,0.6612,0.7169,1.679
801,122.1349,39.9821,0.6463,0.7217,1.6781
802,122.2873,39.0016,0.6582,0.7182,1.6371
803,122.4397,37.0589,0.6593,0.7115,1.601
804,122.5921,35.9256,0.6577,0.7049,1.5946
805,122.7445,37.2873,0.6587,0.6998,1.6268
806,122.8969,38.7205,0.664,0.6982,1.684
807,123.0493,39.4875,0.6616,0.701,1.6338
808,123.2017,38.8499,0.6527,0.7064,1.5773
809,123.3541,38.7272,0.6503,0.7106,1.5578
810,123.5065,38.0965,0.6509,0.7106,1.5298
811,123.6589,36.7826,0.6525,0.7057,1.4988
812,123.8113,37.319,0.6531,0.6991,1.5023
813,123.9637,37.2323,0.659,0.6958,1.5574
814,124.1161,38.8576,0.6589,0.6995,1.5577
815,124.2685,39.9689,0.6751,0.7111,1.5867
816,124.4209,40.6686,0.6818,0.7283,1.6294
817,124.5733,39.1841,0.6829,0.7462,1.6911
818,124.7257,36.8917,0.6679,0.7569,1.6586
819,124.8781,36.7761,0.6643,0.7548,1.6395
820,125.0305,37.1133,0.6724,0.7438,1.6522
821,125.1829,37.3012,0.7115,0.7352,1.6511
822,125.3353,36.9071,0.7298,0.7389,1.6586
823,125.4877,37.8645,0.7279,0.7567,1.6655
824,125.6401,38.857,0.7049,0.7794,1.6875
825,125.7925,40.9039,0.6996,0.7912,1.7109
826,125.9449,41.4473,0.7191,0.7855,1.7406
827,126.0973,39.6199,0.741,0.7715,1.7486
828,126.2497,38.2387,0.7426,0.7621,1.7471
829,126.4021,38.3434,0.744,0.7631,1.7524
830,126.5545,40.6149,0.7394,0.7732,1.7563
831,126.7069,42.6754,0.7458,0.7865,1.7401
832,126.8593,43.4222,0.7359,0.7963,1.7242
833,127.0117,43.9417,0.7335,0.7997,1.7023
834,127.1641,42.762,0.7396,0.7974,1.7078
835,127.3165,43.2427,0.7417,0.7902,1.6792
836,127.4689,43.1632,0.7433,0.7805,1.6767
837,127.6213,44.5429,0.7546,0.7741,1.6747
838,127.7737,43.45,0.7597,0.7771,1.729
839,127.9261,42.5859,0.7568,0.7923,1.7692
840,128.07850000000002,40.9489,0.7561,0.817,1.782
841,128.23090000000002,42.7338,0.7581,0.8415,1.7958
842,128.38330000000002,42.8493,0.7719,0.8523,1.7736
843,128.53570000000002,43.3954,0.7702,0.8423,1.7407
844,128.68810000000002,42.8097,0.7692,0.8181,1.7337
845,128.84050000000002,43.2862,0.756,0.7933,1.7237
846,128.99290000000002,43.8195,0.7318,0.778,1.7041
847,129.14530000000002,43.3969,0.7315,0.774,1.6827
848,129.29770000000002,43.6018,0.7246,0.7745,1.6892
849,129.45010000000002,43.9779,0.7173,0.7699,1.6323
850,129.60250000000002,43.8009,0.7193,0.7577,1.4976
851,129.75490000000002,44.4621,0.7162,0.7465,1.4315
852,129.90730000000002,45.8084,0.7124,0.7468,1.4093
853,130.05970000000002,48.3814,0.7148,0.7614,1.5027
854,130.2121,50.9256,0.7158,0.7845,1.5751
855,130.3645,51.3593,0.7162,0.8048,1.6756
856,130.5169,49.6331,0.7175,0.8128,1.6722
857,130.6693,49.7388,0.719,0.8064,1.6558
858,130.8217,49.1294,0.7247,0.7928,1.6737
859,130.9741,49.5906,0.7493,0.7803,1.6601
860,131.1265,47.7201,0.7543,0.7725,1.6444
861,131.2789,46.1945,0.7559,0.7705,1.6414
862,131.4313,46.6322,0.7447,0.7757,1.6512
863,131.5837,44.2323,0.7293,0.7862,1.4343
864,131.7361,42.67,0.7289,0.7934,1.2688
865,131.8885,40.2156,0.7257,0.7867,1.1729
866,132.0409,40.9412,0.7252,0.7636,1.1841
867,132.1933,39.1285,0.7231,0.7342,1.1844
868,132.3457,37.6931,0.7015,0.715,1.2059
869,132.4981,35.5354,0.7027,0.7161,1.2784
870,132.6505,35.8658,0.6991,0.7352,1.3896
871,132.8029,35.117,0.6994,0.7606,1.4505
872,132.9553,36.4471,0.6986,0.7793,1.4396
873,133.1077,38.1596,0.6906,0.7818,1.478
874,133.2601,39.3161,0.6889,0.7636,1.6063
875,133.4125,37.9228,0.6857,0.7301,1.7222
876,133.5649,37.5497,0.667,0.6948,1.6811
877,133.7173,37.2549,0.6421,0.672,1.6399
878,133.8697,37.8741,0.6485,0.6687,1.6259
879,134.0221,38.1266,0.6638,0.6813,1.6145
880,134.1745,38.4099,0.6542,0.6964,1.6115
881,134.3269,37.5881,0.6373,0.7011,1.5961
882,134.4793,37.338,0.6474,0.6967,1.602
883,134.6317,38.0195,0.6501,0.6953,1.6038
884,134.7841,39.9004,0.6429,0.7042,1.5968
885,134.9365,39.5181,0.6408,0.7205,1.6202
886,135.0889,38.6643,0.6444,0.7355,1.6463
887,135.2413,38.6449,0.6548,0.7445,1.6918
888,135.3937,39.334,0.6681,0.7516,1.696
889,135.5461,39.316,0.6958,0.7627,1.6992
890,135.6985,37.6525,0.7024,0.7776,1.7122
891,135.8509,36.3888,0.7238,0.7891,1.7265
892,136.0033,36.8673,0.7348,0.7917,1.7364
893,136.1557,37.0447,0.7394,0.7877,1.7422
894,136.3081,38.6208,0.7419,0.7843,1.746
895,136.4605,39.0954,0.7441,0.7869,1.7516
896,136.6129,40.0543,0.7448,0.7963,1.7566
897,136.7653,40.6036,0.751,0.8092,1.7915
898,136.9177,41.7827,0.7616,0.8214,1.8143
899,137.0701,41.3657,0.7604,0.8299,1.8276
900,137.2225,40.199,0.7605,0.8345,1.8192
901,137.3749,38.1417,0.7598,0.8363,1.8002
902,137.5273,38.7401,0.7554,0.8359,1.7955
903,137.6797,39.3722,0.7508,0.8325,1.7616
904,137.8321,42.015,0.7501,0.8243,1.7472
905,137.9845,42.9658,0.748,0.8113,1.7424
906,138.1369,43.8894,0.7449,0.7963,1.7526
907,138.2893,43.6878,0.7446,0.7835,1.7501
908,138.4417,43.996,0.7426,0.7761,1.7135
909,138.5941,43.5378,0.7396,0.7747,1.6938
910,138.7465,43.9123,0.7359,0.7757,1.6947
911,138.8989,42.6298,0.7264,0.7724,1.6768
912,139.0513,39.1229,0.6961,0.7596,1.5981
913,139.2037,35.1187,0.6873,0.7383,1.5159
914,139.3561,32.4879,0.6872,0.7152,1.4856
915,139.5085,32.3045,0.6811,0.698,1.5533
916,139.6609,31.1299,0.6614,0.6912,1.61
917,139.8133,33.3229,0.6591,0.694,1.6618
918,139.9657,34.8025,0.6636,0.7021,1.6693
919,140.1181,36.2686,0.661,0.711,1.7006
920,140.2705,36.0427,0.6804,0.7171,1.6931
921,140.4229,37.1375,0.6708,0.7194,1.6966
922,140.5753,39.0256,0.6738,0.7202,1.7103
923,140.7277,39.5789,0.6752,0.723,1.7332
924,140.8801,39.7872,0.6811,0.7292,1.5681
925,141.0325,39.5224,0.689,0.7366,1.4367
926,141.1849,38.2557,0.6874,0.7417,1.3516
927,141.3373,38.3011,0.6858,0.7409,1.3685
928,141.4897,37.6856,0.6866,0.7342,1.4346
929,141.6421,36.1906,0.6644,0.7263,1.5011
930,141.7945,33.5478,0.6526,0.7222,1.5328
931,141.9469,33.4357,0.6518,0.7214,1.5335
932,142.0993,37.2056,0.6516,0.7189,1.5804
933,142.2517,42.5595,0.6481,0.7097,1.6406
934,142.4041,43.6488,0.6479,0.6964,1.6587
935,142.5565,43.011,0.6627,0.6892,1.6542
936,142.7089,41.9693,0.67,0.6977,1.6868
937,142.8613,44.2386,0.6724,0.7231,1.686
938,143.0137,46.774,0.6655,0.7562,1.6666
939,143.1661,47.3151,0.6783,0.7809,1.5958
940,143.3185,47.1143,0.6823,0.7849,1.6117
941,143.4709,45.5921,0.6874,0.7694,1.6775
942,143.6233,43.6405,0.6925,0.7456,1.7065
943,143.7757,42.7486,0.6903,0.7253,1.6648
944,143.9281,43.3233,0.6893,0.7145,1.6638
945,144.0805,45.4328,0.6809,0.7135,1.6635
946,144.2329,45.9822,0.6561,0.7182,1.6624
947,144.3853,44.62,0.6537,0.7228,1.6605
948,144.5377,43.5752,0.6519,0.7219,1.6937
949,144.6901,43.2284,0.649,0.7134,1.6961
950,144.8425,42.9239,0.6487,0.7,1.6526
951,144.9949,42.1145,0.6484,0.688,1.635
952,145.1473,40.7338,0.6494,0.6837,1.629
953,145.2997,40.7368,0.6535,0.6899,1.5818
954,145.4521,40.004,0.6561,0.705,1.5833
955,145.6045,40.1401,0.6564,0.7238,1.61
956,145.7569,40.426,0.6645,0.7399,1.6685
957,145.9093,41.1423,0.6993,0.75,1.6907
958,146.0617,42.5792,0.7081,0.7549,1.7357
959,146.2141,44.2422,0.7118,0.7564,1.7703
960,146.3665,46.0577,0.7129,0.756,1.7298
961,146.5189,46.6974,0.7112,0.7553,1.7006
962,146.6713,46.7701,0.7112,0.7543,1.6376
963,146.8237,46.869,0.6977,0.7514,1.5921
964,146.9761,45.8929,0.6834,0.744,1.5515
965,147.1285,46.2392,0.6769,0.731,1.5627
966,147.2809,46.4408,0.6721,0.7156,1.5778
967,147.4333,45.2633,0.6833,0.7042,1.549
968,147.5857,42.532,0.6779,0.7007,1.5875
969,147.7381,39.7552,0.6579,0.7029,1.6873
970,147.8905,39.2477,0.655,0.7048,1.7077
971,148.0429,40.6616,0.6538,0.7017,1.6871
972,148.1953,41.4589,0.6529,0.6942,1.6993
973,148.3477,42.19,0.6447,0.6867,1.6884
974,148.5001,41.1466,0.6396,0.683,1.6664
975,148.6525,39.5683,0.6434,0.6828,1.682
976,148.8049,36.9539,0.6402,0.6838,1.7125
977,148.9573,34.3785,0.6346,0.6843,1.7096
978,149.1097,32.5303,0.6333,0.6834,1.693
979,149.2621,30.7244,0.6328,0.6812,1.6785
980,149.4145,28.786,0.6324,0.6782,1.6775
981,149.5669,28.5083,0.633,0.6752,1.6673
982,149.7193,28.9439,0.6335,0.6722,1.6632
983,149.8717,30.0628,0.6391,0.6688,1.6491
984,150.0241,30.211,0.6403,0.6659,1.5879
985,150.1765,30.4098,0.6412,0.6653,1.4552
986,150.3289,30.1637,0.646,0.6673,1.358
987,150.4813,30.8819,0.6472,0.6708,1.3443
988,150.6337,32.2509,0.6482,0.6749,1.3996
989,150.7861,33.7667,0.6507,0.6805,1.4276
990,150.9385,35.5333,0.6532,0.6895,1.4577
991,151.0909,35.2543,0.6571,0.7031,1.5128
992,151.2433,36.9826,0.658,0.718,1.6175
993,151.3957,35.8424,0.6605,0.7275,1.6381
994,151.5481,35.8537,0.6727,0.7284,1.6046
995,151.7005,33.3408,0.6724,0.7249,1.5948
