,depth,gr,d_res,s_res,den,vp
1967,549.8596000000002,3.006,19.0766,13.9657,2.722,4.8216
1968,550.0120000000002,2.7876,19.0766,13.9657,2.5865,4.8304
1969,550.1644000000001,2.6397,19.0694,13.9644,2.4762,4.6385
1970,550.3168000000002,2.9936,19.0937,13.9688,2.4509,4.502
1971,550.4692000000002,4.3476,17.872,13.606,2.4224,4.562
1972,550.6216000000002,4.6402,22.7953,17.5274,2.4594,4.8029
1973,550.7740000000001,5.1679,24.6347,18.8494,2.4327,5.0671
1974,550.9264000000002,4.9975,24.7131,18.8476,2.5078,5.2044
1975,551.0788000000002,4.9337,24.6606,18.8222,2.6459,5.1676
1976,551.2312000000002,4.8051,28.4603,21.2162,2.964,5.1865
1977,551.3836000000001,5.0512,31.1338,22.7649,2.686,5.2244
1978,551.5360000000002,5.5006,30.7622,22.5997,2.501,5.2066
1979,551.6884000000002,5.6016,30.4566,22.5152,2.5081,5.0539
1980,551.8408000000002,5.4268,31.2626,23.0255,2.4944,5.1498
1981,551.9932000000001,5.098,29.3978,22.2548,2.375,5.0214
1982,552.1456000000002,5.3861,29.2828,22.2115,2.2558,5.2949
1983,552.2980000000002,5.1609,29.234,22.2003,2.0457,5.412
1984,552.4504000000002,5.8425,28.5898,21.8718,2.0644,5.4943
1985,552.6028000000001,4.9556,30.0613,23.0599,2.0403,5.3096
1986,552.7552000000002,4.9744,35.3371,26.8826,2.3049,5.0224
1987,552.9076000000002,4.0886,35.6898,27.3325,2.5956,5.4417
1988,553.0600000000002,4.7929,36.0673,27.5754,2.6591,5.6533
1989,553.2124000000001,4.446,35.0453,26.737,2.7694,5.3885
1990,553.3648000000002,5.019,34.9691,26.3531,2.8405,5.4744
1991,553.5172000000002,5.2134,34.9427,26.3469,2.7931,5.0001
1992,553.6696000000002,5.796,34.9581,26.3722,2.561,4.7023
1993,553.8220000000001,5.9625,34.6025,26.267,2.472,4.7367
1994,553.9744000000002,5.3892,34.7879,26.3113,2.4073,4.7146
1995,554.1268000000002,5.1844,37.9908,28.6404,2.695,4.8965
1996,554.2792000000002,4.8314,37.9114,28.6039,2.6395,4.6273
1997,554.4316000000001,5.6882,37.3783,27.4245,2.5048,4.783
1998,554.5840000000002,6.139,34.18,25.1496,2.433,4.8478
1999,554.7364000000002,6.1802,32.005,23.5096,2.3699,4.9058
2000,554.8888000000002,6.1559,27.0048,20.6241,2.3527,4.8758
2001,555.0412000000001,6.0252,26.5339,20.5767,2.3368,5.2407
2002,555.1936000000002,6.3335,30.8115,23.3852,2.2679,5.346
2003,555.3460000000002,6.0764,34.4718,25.5974,2.3493,5.2444
2004,555.4984000000002,5.8828,34.8541,25.5773,2.4742,5.3056
2005,555.6508000000001,5.778,32.9218,24.3193,2.6975,5.265
2006,555.8032000000002,5.7316,26.6563,20.383,2.7294,5.1049
2007,555.9556000000002,5.3608,24.2639,18.1345,2.7228,4.8133
2008,556.1080000000002,4.7079,24.3909,18.2647,2.5886,4.7519
2009,556.2604000000001,4.8523,24.3944,18.1627,2.6336,4.74
2010,556.4128000000002,4.6196,25.7384,18.8452,2.5543,5.3249
2011,556.5652000000002,5.069,28.329,20.5166,2.5018,5.1468
2012,556.7176000000002,5.2259,28.3784,20.6898,2.4238,5.2613
2013,556.8700000000001,6.062,28.426,20.7288,2.5141,5.4018
2014,557.0224000000002,5.9471,30.3105,21.0298,2.492,5.2323
2015,557.1748000000002,5.7279,28.7593,19.8803,2.2769,5.2195
2016,557.3272000000002,5.1651,28.7881,19.8693,2.2156,4.9068
2017,557.4796000000001,5.3235,28.5738,19.991,2.2431,4.771
2018,557.6320000000002,4.664,24.5915,17.7818,2.4064,4.5261
2019,557.7844000000002,4.6583,23.2015,17.0645,2.4019,4.5956
2020,557.9368000000002,4.4846,21.3856,16.043,2.3629,4.531
2021,558.0892000000001,4.935,18.9248,14.4484,2.2747,4.4123
2022,558.2416000000002,5.6708,18.8391,14.4294,2.176,4.3907
2023,558.3940000000002,5.9879,20.1709,15.3948,2.1029,4.6949
2024,558.5464000000002,6.2704,22.2104,16.7378,2.1299,4.7245
2025,558.6988000000001,6.3178,22.3757,16.9276,2.2599,4.7702
2026,558.8512000000002,6.9613,24.1704,17.8905,2.4992,4.7857
2027,559.0036000000002,7.2179,23.6044,17.4711,2.6248,4.9708
2028,559.1560000000002,7.4851,23.5578,17.4443,2.5812,4.9628
2029,559.3084000000001,6.5325,22.7182,17.0548,2.5588,4.6782
2030,559.4608000000002,6.537,21.6049,16.3531,2.4908,4.5262
2031,559.6132000000002,5.9902,18.723,14.5033,2.4356,4.5717
2032,559.7656000000002,6.2497,13.1335,10.6597,2.3338,5.1957
2033,559.9180000000001,5.9269,12.6605,10.4988,2.3513,5.2908
2034,560.0704000000002,6.3616,13.6662,10.9883,2.4189,5.1431
2035,560.2228000000002,6.6269,13.7147,11.0197,2.4588,5.0859
2036,560.3752000000002,6.2881,13.7336,11.0235,2.5467,4.867
2037,560.5276000000001,6.0341,13.8563,11.1415,2.625,4.02
