,depth,gr,d_res,s_res,den,vp
0,0.0,34.2053,0.7182,0.4674,1.2896,1.4750286000000001
1,0.1524,39.5571,0.847,0.61,1.2979,1.4765544
2,0.3048,47.4783,1.0594,0.7015,1.3012,1.4806493
3,0.45720000000000005,54.6061,1.0936,0.7953,1.3255,1.4839280000000001
4,0.6096,55.7527,1.0249,1.0343,1.3296,1.485088
5,0.762,56.6203,1.1535,0.9431,1.3967,1.4850206000000001
6,0.9144000000000001,53.1063,0.8662,0.7352,1.4382,1.4849896
7,1.0668,51.0569,0.7004,0.6235,1.4368,1.485209
8,1.2192,46.2196,0.7931,0.5272,1.3347,1.4843037
9,1.3716000000000002,45.5024,0.8751,0.5996,1.2682,1.4824232
10,1.524,47.7762,0.7876,0.5235,1.2713,1.4816423
11,1.6764000000000001,51.2455,0.8597,0.4917,1.2972,1.4820431
12,1.8288000000000002,55.2979,0.9039,0.6096,1.3189,1.4832297
13,1.9812,55.8103,0.8469,0.7084,1.3513,1.4843212000000001
14,2.1336,56.6491,0.9252,0.7053,1.4182,1.4831462
15,2.286,53.9172,1.1081,0.7792,1.5315,1.4803347
16,2.4384,54.5179,0.9898,0.9342,1.5037,1.4799128000000001
17,2.5908,53.5899,1.0146,0.9016,1.465,1.4811694
18,2.7432000000000003,58.7794,0.9108,0.7778,1.4068,1.4810246999999999
19,2.8956,57.7327,0.8796,0.8108,1.493,1.478046
20,3.048,56.6294,0.9138,0.8691,1.5619,1.4751869
21,3.2004,52.6856,0.8629,0.8553,1.621,1.4737408
22,3.3528000000000002,51.1111,0.9786,0.9644,1.5787,1.4723335
23,3.5052000000000003,50.6253,0.7883,1.0102,1.5819,1.4722117000000001
24,3.6576000000000004,47.4913,1.1596,0.8783,1.6269,1.4747119
25,3.81,46.1464,1.1038,0.8938,1.6443,1.4783289
26,3.9624,42.0663,0.8266,0.6805,1.6314,1.4803089999999999
27,4.1148,40.242,0.7585,0.6337,1.6009,1.4806641
28,4.2672,44.1631,0.8177,0.6614,1.5746,1.4789761000000001
29,4.4196,51.0699,0.9403,0.7751,1.5753,1.4773945000000002
30,4.572,57.8631,0.9469,0.9296,1.5973,1.4769384
31,4.7244,59.283,0.9565,0.8568,1.6282,1.4777642
32,4.8768,61.801,1.1286,0.9855,1.6478,1.4782516
33,5.0292,61.7237,1.1126,0.8834,1.6382,1.4770969999999999
34,5.1816,60.2175,1.0145,0.8552,1.644,1.4766771
35,5.3340000000000005,56.954,0.9869,0.9101,1.6436,1.4780617999999999
36,5.486400000000001,53.9487,1.0544,1.015,1.6494,1.4790481
37,5.638800000000001,53.7635,1.0781,1.1003,1.6581,1.4784467
38,5.7912,55.93,1.1003,1.0275,1.6467,1.4771024
39,5.9436,58.9611,1.0098,1.0691,1.6525,1.4782985000000002
40,6.096,59.6967,1.0934,0.9774,1.6488,1.4807725
