,depth,gr,d_res,s_res,den,vp
0,-0.0,10.0699,0.362,0.3667,1.0518,1.4936522
1,0.1524,15.0455,0.4058,0.3824,1.0664,1.4948706999999999
2,0.3048,19.6394,0.4833,0.4071,1.0562,1.4964683
3,0.45720000000000005,25.4475,0.5046,0.4301,1.06,1.4973016
4,0.6096,25.0707,0.5687,0.4462,1.0621,1.4988834999999998
5,0.762,28.2977,0.6144,0.5026,1.0631,1.5000491999999999
6,0.9144000000000001,28.9059,0.6133,0.5951,1.0638,1.5008365
7,1.0668,32.2721,0.6941,0.5509,1.0679,1.5009886
8,1.2192,34.0595,0.7222,0.5196,1.0693,1.4995736
9,1.3716000000000002,35.7061,0.6882,0.4931,1.0723,1.4984474
10,1.524,34.8909,0.6578,0.4692,1.0746,1.4990181
11,1.6764000000000001,34.0417,0.6697,0.472,1.0746,1.500743
12,1.8288000000000002,36.1596,0.6781,0.486,1.0762,1.5018753999999999
13,1.9812,39.6007,0.7015,0.5506,1.0764,1.5012358
14,2.1336,42.6417,0.7397,0.7285,1.0879,1.4991997
15,2.286,42.3047,0.851,0.7001,1.0973,1.4988256
16,2.4384,42.6471,0.8496,0.523,1.104,1.5005442
17,2.5908,43.1701,0.8319,0.5576,1.121,1.5035680999999999
18,2.7432000000000003,44.601,0.7672,0.538,1.1479,1.5053958
19,2.8956,46.1223,0.7966,0.5573,1.1888,1.5051384
20,3.048,43.8564,0.7901,0.5446,1.1481,1.5030458000000002
21,3.2004,40.9508,0.7863,0.4902,1.1429,1.5006929
22,3.3528000000000002,39.4699,0.7579,0.4971,1.1206,1.5022906
23,3.5052000000000003,43.3723,0.6776,0.5076,1.1151,1.5041425
24,3.6576000000000004,46.7369,0.7153,0.4905,1.1424,1.5044015
25,3.81,47.4478,0.8059,0.5714,1.1029,1.4999722
26,3.9624,43.8676,0.755,0.5345,1.0986,1.4942473
27,4.1148,42.9741,0.899,0.7096,1.0987,1.492321
28,4.2672,44.7462,0.8417,0.6369,1.0991,1.4913380999999999
29,4.4196,47.2685,0.9983,0.8776,1.1079,1.4921772
30,4.572,48.4396,0.9496,1.0244,1.1148,1.4953116
31,4.7244,48.4234,1.2138,0.8018,1.1269,1.4983590999999998
32,4.8768,49.2392,1.1723,0.833,1.0981,1.5000938000000001
